,attack,model,accuracy,f1
0,apache2.csv,ExtraTrees,1.0,1.0
1,back.csv,ExtraTrees,1.0,1.0
2,overflow.csv,Bagging,0.9998428943352186,0.7586206896551724
3,write.csv,ExtraTrees,0.9999551126672052,0.5
4,passwd.csv,ExtraTrees,0.9999775563336026,0.9986996098829648
5,httptunnel.csv,Perceptron,0.9999775563336026,0.9876543209876544
6,imap.csv,ExtraTrees,1.0,1.0
7,ipsweep.csv,GradientBoosting,0.9994164646736692,0.988454706927176
8,land.csv,LDA,0.9999775563336026,0.9411764705882352
9,loadmodule.csv,LogisticRegression,0.999932669000808,0.0
10,mailbomb.csv,Bagging,1.0,1.0
11,mscan.csv,ExtraTrees,0.9998204506688212,0.9864864864864864
12,multihop.csv,ExtraTrees,0.9998204506688212,0.5
13,named.csv,AdaBoost,0.9999102253344108,0.5
14,neptune.csv,ExtraTrees,0.9999551126672052,0.9999273361430024
15,nmap.csv,GradientBoosting,0.9995735703384504,0.9797225186766274
16,normal.csv,ExtraTrees,1.0,1.0
17,perl.csv,LDA,0.9995286830056558,0.16
18,phf.csv,Bagging,0.9999775563336026,0.6666666666666666
19,pod.csv,DecisionTree,1.0,1.0
20,portsweep.csv,ExtraTrees,0.9997082323368346,0.992946283233858
21,processtable.csv,ExtraTrees,1.0,1.0
22,ps.csv,DecisionTree,0.999865338001616,0.5714285714285714
23,rootkit.csv,ExtraTrees,0.999865338001616,0.5
24,saint.csv,RandomForest,0.9993940210072716,0.8556149732620321
25,satan.csv,ExtraTrees,0.9991695843432984,0.9857856319631196
26,sendmail.csv,AdaBoost,0.9999551126672052,0.75
27,smurf.csv,GradientBoosting,1.0,1.0
28,snmpgetattack.csv,QDA,0.9987431546817488,0.654320987654321
29,snmpguess.csv,ExtraTrees,0.9996184576712452,0.9178743961352656
30,spy.csv,LogisticRegression,0.9999775563336026,0.0
31,sqlattack.csv,DecisionTree,1.0,1.0
32,teardrop.csv,Bagging,0.999932669000808,0.9944751381215472
33,udpstorm.csv,LDA,0.9988553730137356,0.0377358490566037
34,warezclient.csv,ExtraTrees,0.9997306760032318,0.9772727272727272
35,warezmaster.csv,Bagging,0.999798007002424,0.9843478260869564
36,worm.csv,Bagging,0.9999775563336026,0.6666666666666666
37,xlock.csv,KNeighbors,0.999932669000808,0.5714285714285715
38,xsnoop.csv,Perceptron,0.9999775563336026,0.6666666666666666
39,xterm.csv,DecisionTree,0.999932669000808,0.4
