,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.8874977152257357,0.1125022847742643,0.0,0.0,0.0,"[[9711    0]
 [1231    0]]"
ExtraTrees,0.8874977152257357,0.1125022847742643,0.0,0.0,0.0,"[[9711    0]
 [1231    0]]"
Bagging,0.8908791811369037,0.10912081886309632,0.0583596214511041,1.0,0.030056864337936636,"[[9711    0]
 [1194   37]]"
LDA,0.9297203436300494,0.07027965636995065,0.548443922489724,0.989406779661017,0.3793663688058489,"[[9706    5]
 [ 764  467]]"
QDA,0.8874977152257357,0.1125022847742643,0.0,0.0,0.0,"[[9711    0]
 [1231    0]]"
DecisionTree,0.8908791811369037,0.10912081886309632,0.0583596214511041,1.0,0.030056864337936636,"[[9711    0]
 [1194   37]]"
RandomForest,0.8874977152257357,0.1125022847742643,0.0,0.0,0.0,"[[9711    0]
 [1231    0]]"
GradientBoosting,0.8874977152257357,0.1125022847742643,0.0,0.0,0.0,"[[9711    0]
 [1231    0]]"
KNeighbors,0.8874977152257357,0.1125022847742643,0.0,0.0,0.0,"[[9711    0]
 [1231    0]]"
GaussianNB,0.8874977152257357,0.1125022847742643,0.0,0.0,0.0,"[[9711    0]
 [1231    0]]"
Perceptron,0.8874063242551636,0.1125936757448364,0.0,0.0,0.0,"[[9710    1]
 [1231    0]]"
AdaBoost,0.8874977152257357,0.1125022847742643,0.0,0.0,0.0,"[[9711    0]
 [1231    0]]"
