,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9981602616516762,0.001839738348323794,0.8888888888888888,0.8089887640449438,0.9863013698630136,"[[9694   17]
 [   1   72]]"
ExtraTrees,0.999897792313982,0.00010220768601798856,0.9931972789115647,0.9864864864864865,1.0,"[[9710    1]
 [   0   73]]"
Bagging,0.9942763695829926,0.005723630417007359,0.72,0.5669291338582677,0.9863013698630136,"[[9656   55]
 [   1   72]]"
LDA,0.9943785772690106,0.005621422730989371,0.7263681592039801,0.5703125,1.0,"[[9656   55]
 [   0   73]]"
QDA,0.9948896156991006,0.005110384300899428,0.7448979591836735,0.5934959349593496,1.0,"[[9661   50]
 [   0   73]]"
DecisionTree,0.9924366312346689,0.007563368765331153,0.6605504587155963,0.496551724137931,0.9863013698630136,"[[9638   73]
 [   1   72]]"
RandomForest,0.999897792313982,0.00010220768601798856,0.9931972789115647,0.9864864864864865,1.0,"[[9710    1]
 [   0   73]]"
GradientBoosting,0.9887571545380213,0.011242845461978741,0.5669291338582677,0.39779005524861877,0.9863013698630136,"[[9602  109]
 [   1   72]]"
KNeighbors,0.9970359771054783,0.002964022894521668,0.8342857142857142,0.7156862745098039,1.0,"[[9682   29]
 [   0   73]]"
GaussianNB,0.8776573998364677,0.1223426001635323,0.10871183916604615,0.05748031496062992,1.0,"[[8514 1197]
 [   0   73]]"
Perceptron,0.9977514309076042,0.0022485690923957483,0.8674698795180723,0.7741935483870968,0.9863013698630136,"[[9690   21]
 [   1   72]]"
AdaBoost,0.999897792313982,0.00010220768601798856,0.9931972789115647,0.9864864864864865,1.0,"[[9710    1]
 [   0   73]]"
