,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9929063640048642,0.007093635995135792,0.8118279569892474,0.7023255813953488,0.9617834394904459,"[[9647   64]
 [   6  151]]"
ExtraTrees,0.9952371301175517,0.004762869882448318,0.8676056338028169,0.7777777777777778,0.9808917197452229,"[[9667   44]
 [   3  154]]"
Bagging,0.9930077016619375,0.006992298338062424,0.807799442896936,0.7178217821782178,0.9235668789808917,"[[9654   57]
 [  12  145]]"
LDA,0.9896635589785164,0.010336441021483584,0.7475247524752476,0.611336032388664,0.9617834394904459,"[[9615   96]
 [   6  151]]"
QDA,0.8339075800567491,0.1660924199432509,0.15991799077396207,0.08695652173913043,0.9936305732484076,"[[8073 1638]
 [   1  156]]"
DecisionTree,0.9920956627482772,0.00790433725172274,0.7868852459016394,0.6889952153110048,0.9171974522292994,"[[9646   65]
 [  13  144]]"
RandomForest,0.9950344548034049,0.0049655451965950545,0.8579710144927536,0.7872340425531915,0.9426751592356688,"[[9671   40]
 [   9  148]]"
GradientBoosting,0.9944264288609648,0.005573571139035265,0.8433048433048433,0.7628865979381443,0.9426751592356688,"[[9665   46]
 [   9  148]]"
KNeighbors,0.9937170652614512,0.006282934738548845,0.8342245989304813,0.7188940092165899,0.9936305732484076,"[[9650   61]
 [   1  156]]"
GaussianNB,0.7652006485610052,0.23479935143899472,0.11800532927293489,0.06275303643724696,0.9872611464968153,"[[7396 2315]
 [   2  155]]"
Perceptron,0.9912849614916903,0.008715038508309687,0.7849999999999999,0.6460905349794238,1.0,"[[9625   86]
 [   0  157]]"
AdaBoost,0.9954398054316984,0.004560194568301581,0.8739495798319328,0.78,0.9936305732484076,"[[9667   44]
 [   1  156]]"
