,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.998585997086297,0.0014140029137029737,0.9290322580645162,0.8852459016393442,0.9773755656108597,"[[23089    28]
 [    5   216]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[23117     0]
 [    0   221]]"
Bagging,0.9998286057074299,0.0001713942925700574,0.9909502262443439,0.9909502262443439,0.9909502262443439,"[[23115     2]
 [    2   219]]"
LDA,0.9904447681892193,0.0095552318107807,0.6521060842433697,0.4976190476190476,0.9457013574660633,"[[22906   211]
 [   12   209]]"
QDA,0.9976861770503043,0.0023138229496957752,0.8902439024390245,0.8081180811808119,0.9909502262443439,"[[23065    52]
 [    2   219]]"
DecisionTree,0.9998286057074299,0.0001713942925700574,0.990990990990991,0.9865470852017937,0.995475113122172,"[[23114     3]
 [    1   220]]"
RandomForest,0.9999571514268575,4.284857314251435e-05,0.9977324263038548,1.0,0.995475113122172,"[[23117     0]
 [    1   220]]"
GradientBoosting,0.9999571514268575,4.284857314251435e-05,0.9977324263038548,1.0,0.995475113122172,"[[23117     0]
 [    1   220]]"
KNeighbors,0.9998714542805724,0.00012854571942754308,0.9931972789115646,0.9954545454545455,0.9909502262443439,"[[23116     1]
 [    2   219]]"
GaussianNB,0.9889450681292313,0.011054931870768704,0.6314285714285715,0.4613778705636743,1.0,"[[22859   258]
 [    0   221]]"
Perceptron,0.9993572714028622,0.0006427285971377153,0.9653579676674364,0.9858490566037735,0.9457013574660633,"[[23114     3]
 [   12   209]]"
AdaBoost,0.9999571514268575,4.284857314251435e-05,0.9977324263038548,1.0,0.995475113122172,"[[23117     0]
 [    1   220]]"
