,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9993947777969912,0.0006052222030088189,0.3,0.6,0.2,"[[23115     2]
 [   12     3]]"
ExtraTrees,0.9997406190558533,0.0002593809441466367,0.7692307692307692,0.9090909090909091,0.6666666666666666,"[[23116     1]
 [    5    10]]"
Bagging,0.9997406190558533,0.0002593809441466367,0.7857142857142856,0.8461538461538461,0.7333333333333333,"[[23115     2]
 [    4    11]]"
LDA,0.998486944492478,0.0015130555075220473,0.36363636363636365,0.25,0.6666666666666666,"[[23087    30]
 [    5    10]]"
QDA,0.877658654677503,0.12234134532249698,0.006320224719101123,0.0031768443346276033,0.6,"[[20293  2824]
 [    6     9]]"
DecisionTree,0.9995244682690645,0.0004755317309355006,0.5925925925925926,0.6666666666666666,0.5333333333333333,"[[23113     4]
 [    7     8]]"
RandomForest,0.9996541587411378,0.0003458412588621823,0.6363636363636364,1.0,0.4666666666666667,"[[23117     0]
 [    8     7]]"
GradientBoosting,0.9995244682690645,0.0004755317309355006,0.47619047619047616,0.8333333333333334,0.3333333333333333,"[[23116     1]
 [   10     5]]"
KNeighbors,0.9995244682690645,0.0004755317309355006,0.56,0.7,0.4666666666666667,"[[23114     3]
 [    8     7]]"
GaussianNB,0.7078073664188138,0.29219263358118625,0.0035382574082264487,0.0017730496453900709,0.8,"[[16361  6756]
 [    3    12]]"
Perceptron,0.9993515476396334,0.0006484523603665917,0.11764705882352941,0.5,0.06666666666666667,"[[23116     1]
 [   14     1]]"
AdaBoost,0.9996541587411378,0.0003458412588621823,0.7142857142857142,0.7692307692307693,0.6666666666666666,"[[23114     3]
 [    5    10]]"
