,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9886818143136754,0.011318185686324568,0.48249027237354086,0.9612403100775194,0.3220779220779221,"[[23112     5]
 [  261   124]]"
ExtraTrees,0.9997872521487533,0.00021274785124670241,0.9934640522875817,1.0,0.987012987012987,"[[23117     0]
 [    5   380]]"
Bagging,0.999744702578504,0.0002552974214960429,0.9922279792746115,0.9896640826873385,0.9948051948051948,"[[23113     4]
 [    2   383]]"
LDA,0.9890647604459195,0.010935239554080503,0.5318761384335156,0.8902439024390244,0.37922077922077924,"[[23099    18]
 [  239   146]]"
QDA,0.999744702578504,0.0002552974214960429,0.992248062015504,0.987146529562982,0.9974025974025974,"[[23112     5]
 [    1   384]]"
DecisionTree,0.9997021530082546,0.00029784699174538335,0.9909443725743855,0.9871134020618557,0.9948051948051948,"[[23112     5]
 [    2   383]]"
RandomForest,0.9998298017190026,0.00017019828099736192,0.9947780678851175,1.0,0.9896103896103896,"[[23117     0]
 [    4   381]]"
GradientBoosting,0.9999574504297507,4.254957024934048e-05,0.9986996098829649,1.0,0.9974025974025974,"[[23117     0]
 [    1   384]]"
KNeighbors,0.9993192068760105,0.0006807931239894477,0.9789473684210527,0.992,0.9662337662337662,"[[23114     3]
 [   13   372]]"
GaussianNB,0.7638924346864097,0.23610756531359034,0.12157669779958842,0.06473364801078894,0.9974025974025974,"[[17569  5548]
 [    1   384]]"
Perceptron,0.988001021189686,0.011998978810314016,0.5017667844522969,0.7845303867403315,0.36883116883116884,"[[23078    39]
 [  243   142]]"
AdaBoost,0.999872351289252,0.00012764871074802145,0.9960988296488947,0.9973958333333334,0.9948051948051948,"[[23116     1]
 [    2   383]]"
