,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9991795137539405,0.0008204862460595068,0.7466666666666666,0.8,0.7,"[[23110     7]
 [   12    28]]"
ExtraTrees,0.9998704495400959,0.00012955045990413266,0.961038961038961,1.0,0.925,"[[23117     0]
 [    3    37]]"
Bagging,0.9998704495400959,0.00012955045990413266,0.961038961038961,1.0,0.925,"[[23117     0]
 [    3    37]]"
LDA,0.9955521008766248,0.0044478991233752214,0.3905325443786982,0.2558139534883721,0.825,"[[23021    96]
 [    7    33]]"
QDA,0.9998704495400959,0.00012955045990413266,0.961038961038961,1.0,0.925,"[[23117     0]
 [    3    37]]"
DecisionTree,0.9997408990801917,0.0002591009198082653,0.9230769230769231,0.9473684210526315,0.9,"[[23115     2]
 [    4    36]]"
RandomForest,0.9998272660534612,0.00017273394653884354,0.9473684210526316,1.0,0.9,"[[23117     0]
 [    4    36]]"
GradientBoosting,0.9995681651336529,0.0004318348663471089,0.8780487804878048,0.8571428571428571,0.9,"[[23111     6]
 [    4    36]]"
KNeighbors,0.9996545321069223,0.00034546789307768707,0.9024390243902439,0.8809523809523809,0.925,"[[23112     5]
 [    3    37]]"
GaussianNB,0.9923133393790214,0.007686660620978538,0.2992125984251969,0.17757009345794392,0.95,"[[22941   176]
 [    2    38]]"
Perceptron,0.9981431100747075,0.001856889925292568,0.6324786324786325,0.4805194805194805,0.925,"[[23077    40]
 [    3    37]]"
AdaBoost,0.9999136330267305,8.636697326942177e-05,0.9743589743589743,1.0,0.95,"[[23117     0]
 [    2    38]]"
