,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9998269896193772,0.00017301038062283736,0.0,1.0,0.0,"[[23116     0]
 [    4     0]]"
ExtraTrees,0.9999134948096886,8.650519031141868e-05,0.6666666666666666,1.0,0.5,"[[23116     0]
 [    2     2]]"
Bagging,0.9999134948096886,8.650519031141868e-05,0.6666666666666666,1.0,0.5,"[[23116     0]
 [    2     2]]"
LDA,0.9975778546712802,0.002422145328719723,0.06666666666666667,0.03571428571428571,0.5,"[[23062    54]
 [    2     2]]"
QDA,0.9998269896193772,0.00017301038062283736,0.0,1.0,0.0,"[[23116     0]
 [    4     0]]"
DecisionTree,0.9999134948096886,8.650519031141868e-05,0.6666666666666666,1.0,0.5,"[[23116     0]
 [    2     2]]"
RandomForest,0.9999134948096886,8.650519031141868e-05,0.6666666666666666,1.0,0.5,"[[23116     0]
 [    2     2]]"
GradientBoosting,0.9999134948096886,8.650519031141868e-05,0.6666666666666666,1.0,0.5,"[[23116     0]
 [    2     2]]"
KNeighbors,0.9999134948096886,8.650519031141868e-05,0.6666666666666666,1.0,0.5,"[[23116     0]
 [    2     2]]"
GaussianNB,0.9999567474048443,4.325259515570934e-05,0.8571428571428571,1.0,0.75,"[[23116     0]
 [    1     3]]"
Perceptron,0.9998269896193772,0.00017301038062283736,0.3333333333333333,0.5,0.25,"[[23115     1]
 [    3     1]]"
AdaBoost,0.9999134948096886,8.650519031141868e-05,0.6666666666666666,1.0,0.5,"[[23116     0]
 [    2     2]]"
