,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9996972842068846,0.00030271579311537796,0.4615384615384615,0.6,0.375,"[[23114     2]
 [    5     3]]"
ExtraTrees,0.9998702646600934,0.00012973533990659055,0.823529411764706,0.7777777777777778,0.875,"[[23114     2]
 [    1     7]]"
Bagging,0.9999135097733957,8.64902266043937e-05,0.888888888888889,0.8,1.0,"[[23114     2]
 [    0     8]]"
LDA,0.9999135097733957,8.64902266043937e-05,0.888888888888889,0.8,1.0,"[[23114     2]
 [    0     8]]"
QDA,0.999783774433489,0.00021622556651098427,0.6666666666666666,0.7142857142857143,0.625,"[[23114     2]
 [    3     5]]"
DecisionTree,0.999783774433489,0.00021622556651098427,0.6666666666666666,0.7142857142857143,0.625,"[[23114     2]
 [    3     5]]"
RandomForest,0.9998702646600934,0.00012973533990659055,0.823529411764706,0.7777777777777778,0.875,"[[23114     2]
 [    1     7]]"
GradientBoosting,0.9999135097733957,8.64902266043937e-05,0.888888888888889,0.8,1.0,"[[23114     2]
 [    0     8]]"
KNeighbors,0.9998270195467912,0.0001729804532087874,0.75,0.75,0.75,"[[23114     2]
 [    2     6]]"
GaussianNB,0.9998702646600934,0.00012973533990659055,0.823529411764706,0.7777777777777778,0.875,"[[23114     2]
 [    1     7]]"
Perceptron,0.9998702646600934,0.00012973533990659055,0.8421052631578948,0.7272727272727273,1.0,"[[23113     3]
 [    0     8]]"
AdaBoost,0.9998702646600934,0.00012973533990659055,0.823529411764706,0.7777777777777778,0.875,"[[23114     2]
 [    1     7]]"
