,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9967248437836673,0.003275156216332687,0.4328358208955224,0.6304347826086957,0.32954545454545453,"[[23100    17]
 [   59    29]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[23117     0]
 [    0    88]]"
Bagging,1.0,0.0,1.0,1.0,1.0,"[[23117     0]
 [    0    88]]"
LDA,0.9898297780650722,0.010170221934927818,0.30177514792899407,0.204,0.5795454545454546,"[[22918   199]
 [   37    51]]"
QDA,0.9999138116785176,8.618832148243914e-05,0.9885057471264368,1.0,0.9772727272727273,"[[23117     0]
 [    2    86]]"
DecisionTree,0.9998707175177763,0.0001292824822236587,0.9832402234636871,0.967032967032967,1.0,"[[23114     3]
 [    0    88]]"
RandomForest,1.0,0.0,1.0,1.0,1.0,"[[23117     0]
 [    0    88]]"
GradientBoosting,0.9996552467140702,0.00034475328592975654,0.9565217391304348,0.9166666666666666,1.0,"[[23109     8]
 [    0    88]]"
KNeighbors,0.9998276233570351,0.00017237664296487827,0.9775280898876404,0.9666666666666667,0.9886363636363636,"[[23114     3]
 [    1    87]]"
GaussianNB,0.9987502693385046,0.0012497306614953673,0.8585365853658536,0.7521367521367521,1.0,"[[23088    29]
 [    0    88]]"
Perceptron,0.9985778926955398,0.0014221073044602456,0.8341708542713568,0.7477477477477478,0.9431818181818182,"[[23089    28]
 [    5    83]]"
AdaBoost,1.0,0.0,1.0,1.0,1.0,"[[23117     0]
 [    0    88]]"
