,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.99837710869101,0.0016228913089899636,0.934931506849315,0.9578947368421052,0.9130434782608695,"[[23104    12]
 [   26   273]]"
ExtraTrees,0.9999145846679479,8.541533205210335e-05,0.9966555183946488,0.9966555183946488,0.9966555183946488,"[[23115     1]
 [    1   298]]"
Bagging,0.9995302156737135,0.00046978432628656846,0.9813242784380305,0.996551724137931,0.9665551839464883,"[[23115     1]
 [   10   289]]"
LDA,0.99004911381593,0.009950886184070041,0.7054361567635905,0.5670731707317073,0.9331103678929766,"[[22903   213]
 [   20   279]]"
QDA,0.9611360239162929,0.03886397608370702,0.39414114513981363,0.2460515378221114,0.9899665551839465,"[[22209   907]
 [    3   296]]"
DecisionTree,0.9995729233397395,0.00042707666026051675,0.9829931972789115,1.0,0.9665551839464883,"[[23116     0]
 [   10   289]]"
RandomForest,0.9998718770019218,0.00012812299807815503,0.9949748743718593,0.9966442953020134,0.9933110367892977,"[[23115     1]
 [    2   297]]"
GradientBoosting,0.9997437540038437,0.00025624599615631005,0.9899665551839465,0.9899665551839465,0.9899665551839465,"[[23113     3]
 [    3   296]]"
KNeighbors,0.9996583386717915,0.0003416613282084134,0.9867549668874172,0.9770491803278688,0.9966555183946488,"[[23109     7]
 [    1   298]]"
GaussianNB,0.6335682254964766,0.3664317745035234,0.06515580736543909,0.03367496339677892,1.0,"[[14536  8580]
 [    0   299]]"
Perceptron,0.9922272047832585,0.007772795216741405,0.7630208333333334,0.6247334754797441,0.979933110367893,"[[22940   176]
 [    6   293]]"
AdaBoost,0.9998291693358958,0.0001708306641042067,0.9932885906040269,0.9966329966329966,0.9899665551839465,"[[23115     1]
 [    3   296]]"
