,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9996540390935824,0.0003459609064175748,0.0,1.0,0.0,"[[23116     0]
 [    8     0]]"
ExtraTrees,0.9996107939802802,0.0003892060197197717,0.3076923076923077,0.4,0.25,"[[23113     3]
 [    6     2]]"
Bagging,0.9996540390935824,0.0003459609064175748,0.0,1.0,0.0,"[[23116     0]
 [    8     0]]"
LDA,0.9996540390935824,0.0003459609064175748,0.0,1.0,0.0,"[[23116     0]
 [    8     0]]"
QDA,0.9996540390935824,0.0003459609064175748,0.0,1.0,0.0,"[[23116     0]
 [    8     0]]"
DecisionTree,0.9996107939802802,0.0003892060197197717,0.47058823529411764,0.4444444444444444,0.5,"[[23111     5]
 [    4     4]]"
RandomForest,0.9996540390935824,0.0003459609064175748,0.0,1.0,0.0,"[[23116     0]
 [    8     0]]"
GradientBoosting,0.9996540390935824,0.0003459609064175748,0.0,1.0,0.0,"[[23116     0]
 [    8     0]]"
KNeighbors,0.9996107939802802,0.0003892060197197717,0.0,0.0,0.0,"[[23115     1]
 [    8     0]]"
GaussianNB,0.8928386092371562,0.1071613907628438,0.003218020917135961,0.0016142050040355124,0.5,"[[20642  2474]
 [    4     4]]"
Perceptron,0.9996540390935824,0.0003459609064175748,0.0,1.0,0.0,"[[23116     0]
 [    8     0]]"
AdaBoost,0.9996972842068846,0.00030271579311537796,0.36363636363636365,0.6666666666666666,0.25,"[[23115     1]
 [    6     2]]"
