,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9997837557304732,0.00021624426952685755,0.0,1.0,0.0,"[[23117     0]
 [    5     0]]"
ExtraTrees,0.9998270045843786,0.00017299541562148602,0.33333333333333337,1.0,0.2,"[[23117     0]
 [    4     1]]"
Bagging,0.9998270045843786,0.00017299541562148602,0.5,0.6666666666666666,0.4,"[[23116     1]
 [    3     2]]"
LDA,0.9996972580226624,0.00030274197733760053,0.22222222222222224,0.25,0.2,"[[23114     3]
 [    4     1]]"
QDA,0.9997837557304732,0.00021624426952685755,0.0,1.0,0.0,"[[23117     0]
 [    5     0]]"
DecisionTree,0.9997837557304732,0.00021624426952685755,0.5454545454545454,0.5,0.6,"[[23114     3]
 [    2     3]]"
RandomForest,0.9997837557304732,0.00021624426952685755,0.0,1.0,0.0,"[[23117     0]
 [    5     0]]"
GradientBoosting,0.9998270045843786,0.00017299541562148602,0.6666666666666666,0.5714285714285714,0.8,"[[23114     3]
 [    1     4]]"
KNeighbors,0.9998270045843786,0.00017299541562148602,0.33333333333333337,1.0,0.2,"[[23117     0]
 [    4     1]]"
GaussianNB,0.9598218147219099,0.04017818527809013,0.010649627263045792,0.0053533190578158455,1.0,"[[22188   929]
 [    0     5]]"
Perceptron,0.9997837557304732,0.00021624426952685755,0.0,1.0,0.0,"[[23117     0]
 [    5     0]]"
AdaBoost,0.9997837557304732,0.00021624426952685755,0.28571428571428575,0.5,0.2,"[[23116     1]
 [    4     1]]"
