,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9993763219263517,0.0006236780736482456,0.9991646387970798,0.9987656113854196,0.9995639851754959,"[[23100    17]
 [    6 13755]]"
ExtraTrees,0.9999728835620153,2.711643798470633e-05,0.9999636641110425,1.0,0.9999273308625827,"[[23117     0]
 [    1 13760]]"
Bagging,0.9997017191821682,0.00029828081783176964,0.9996003923420641,0.9994188580560802,0.999781992587748,"[[23109     8]
 [    3 13758]]"
LDA,0.9970171918216824,0.002982808178317696,0.9960002908879354,0.9967251291754603,0.995276506067873,"[[23072    45]
 [   65 13696]]"
QDA,0.9929768425619611,0.007023157438038939,0.9906717089861335,0.9820765495572693,0.9994186469006613,"[[22866   251]
 [    8 13753]]"
DecisionTree,0.9996474863061988,0.0003525136938011823,0.9995278050197958,0.99920116194626,0.9998546617251654,"[[23106    11]
 [    2 13759]]"
RandomForest,0.9998915342480612,0.00010846575193882532,0.9998546617251654,0.9998546617251654,0.9998546617251654,"[[23115     2]
 [    2 13759]]"
GradientBoosting,0.9996203698682141,0.0003796301317858886,0.9994914638576099,0.9992011039291161,0.999781992587748,"[[23106    11]
 [    3 13758]]"
KNeighbors,0.9998915342480612,0.00010846575193882532,0.9998546617251654,0.9998546617251654,0.9998546617251654,"[[23115     2]
 [    2 13759]]"
GaussianNB,0.9884755138564998,0.01152448614350019,0.984774119585856,0.9711701526286037,0.9987646246639053,"[[22709   408]
 [   17 13744]]"
Perceptron,0.9994576712403058,0.0005423287596941266,0.9992728330424665,0.9999272356836207,0.9986192863890706,"[[23116     1]
 [   19 13742]]"
AdaBoost,0.999810184934107,0.0001898150658929443,0.9997456857402361,0.9996367335077012,0.9998546617251654,"[[23112     5]
 [    2 13759]]"
