,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999134873258932,8.651267410675664e-05,0.0,1.0,0.0,"[[23116     0]
 [    2     0]]"
ExtraTrees,0.9999567436629466,4.325633705337832e-05,0.6666666666666666,1.0,0.5,"[[23116     0]
 [    1     1]]"
Bagging,0.9999134873258932,8.651267410675664e-05,0.6666666666666666,0.5,1.0,"[[23114     2]
 [    0     2]]"
LDA,0.9987888225625055,0.001211177437494593,0.125,0.06666666666666667,1.0,"[[23088    28]
 [    0     2]]"
QDA,0.9999134873258932,8.651267410675664e-05,0.0,1.0,0.0,"[[23116     0]
 [    2     0]]"
DecisionTree,0.9998702309888399,0.00012976901116013495,0.5714285714285715,0.4,1.0,"[[23113     3]
 [    0     2]]"
RandomForest,0.9999567436629466,4.325633705337832e-05,0.6666666666666666,1.0,0.5,"[[23116     0]
 [    1     1]]"
GradientBoosting,0.9998269746517865,0.00017302534821351327,0.5,0.3333333333333333,1.0,"[[23112     4]
 [    0     2]]"
KNeighbors,0.9999134873258932,8.651267410675664e-05,0.0,1.0,0.0,"[[23116     0]
 [    2     0]]"
GaussianNB,0.9873691495804136,0.012630850419586469,0.006802721088435374,0.003424657534246575,0.5,"[[22825   291]
 [    1     1]]"
Perceptron,0.9999134873258932,8.651267410675664e-05,0.0,1.0,0.0,"[[23116     0]
 [    2     0]]"
AdaBoost,0.9999134873258932,8.651267410675664e-05,0.0,1.0,0.0,"[[23116     0]
 [    2     0]]"
