,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9978788004824689,0.0021211995175310903,0.9726541554959787,0.9659211927582535,0.9794816414686826,"[[23085    32]
 [   19   907]]"
ExtraTrees,0.9997920392629871,0.00020796073701285196,0.9973016729627631,0.9967637540453075,0.9978401727861771,"[[23114     3]
 [    2   924]]"
Bagging,0.9993761177889614,0.000623882211038556,0.9918962722852511,0.9924324324324324,0.9913606911447084,"[[23110     7]
 [    8   918]]"
LDA,0.994676205132471,0.00532379486752901,0.9334027055150884,0.9006024096385542,0.968682505399568,"[[23018    99]
 [   29   897]]"
QDA,0.9930957035311733,0.006904296468826686,0.917412935323383,0.8505535055350554,0.9956803455723542,"[[22955   162]
 [    4   922]]"
DecisionTree,0.9993761177889614,0.000623882211038556,0.9919050188882893,0.9913700107874865,0.9924406047516199,"[[23109     8]
 [    7   919]]"
RandomForest,0.999708854968182,0.00029114503181799277,0.9962182603997839,0.9967567567567568,0.9956803455723542,"[[23114     3]
 [    4   922]]"
GradientBoosting,0.9992097491993511,0.0007902508006488375,0.9897574123989218,0.9881593110871906,0.9913606911447084,"[[23106    11]
 [    8   918]]"
KNeighbors,0.999126564904546,0.0008734350954539783,0.9886792452830189,0.9870828848223897,0.990280777537797,"[[23105    12]
 [    9   917]]"
GaussianNB,0.978122530466248,0.02187746953375203,0.7780590717299578,0.6385041551246537,0.9956803455723542,"[[22595   522]
 [    4   922]]"
Perceptron,0.9982531298090921,0.0017468701909079565,0.9776119402985075,0.9652631578947368,0.990280777537797,"[[23084    33]
 [    9   917]]"
AdaBoost,0.9993345256415589,0.0006654743584411263,0.9913700107874865,0.990301724137931,0.9924406047516199,"[[23108     9]
 [    7   919]]"
