,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9977125593439793,0.0022874406560207164,0.0,1.0,0.0,"[[23117     0]
 [   53     0]]"
ExtraTrees,0.9980146741476047,0.001985325852395339,0.5490196078431372,0.5714285714285714,0.5283018867924528,"[[23096    21]
 [   25    28]]"
Bagging,0.9980578334052654,0.0019421665947345706,0.5544554455445545,0.5833333333333334,0.5283018867924528,"[[23097    20]
 [   25    28]]"
LDA,0.9856711264566249,0.014328873543375054,0.23148148148148148,0.13192612137203166,0.9433962264150944,"[[22788   329]
 [    3    50]]"
QDA,0.9969788519637462,0.0030211480362537764,0.5930232558139534,0.42857142857142855,0.9622641509433962,"[[23049    68]
 [    2    51]]"
DecisionTree,0.9980578334052654,0.0019421665947345706,0.5794392523364486,0.5740740740740741,0.5849056603773585,"[[23094    23]
 [   22    31]]"
RandomForest,0.9979715148899438,0.002028485110056107,0.5154639175257733,0.5681818181818182,0.4716981132075472,"[[23098    19]
 [   28    25]]"
GradientBoosting,0.9977988778593008,0.00220112214069918,0.07272727272727272,1.0,0.03773584905660377,"[[23117     0]
 [   51     2]]"
KNeighbors,0.9973672852826931,0.0026327147173068623,0.4299065420560748,0.42592592592592593,0.4339622641509434,"[[23086    31]
 [   30    23]]"
GaussianNB,0.9681916271040139,0.03180837289598619,0.12366230677764566,0.06598984771573604,0.9811320754716981,"[[22381   736]
 [    1    52]]"
Perceptron,0.9848511005610704,0.01514889943892965,0.2182628062360802,0.12373737373737374,0.9245283018867925,"[[22770   347]
 [    4    49]]"
AdaBoost,0.9981873111782478,0.0018126888217522659,0.611111111111111,0.6,0.6226415094339622,"[[23095    22]
 [   20    33]]"
