,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
ExtraTrees,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
Bagging,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
LDA,0.994073625470433,0.005926374529566986,0.0,0.0,0.0,"[[22980   136]
 [    1     0]]"
DecisionTree,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
RandomForest,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
GradientBoosting,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
KNeighbors,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
GaussianNB,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
Perceptron,0.9997404507505299,0.0002595492494700869,0.0,0.0,0.0,"[[23111     5]
 [    1     0]]"
AdaBoost,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
