,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999567436629466,4.325633705337832e-05,0.0,1.0,0.0,"[[23117     0]
 [    1     0]]"
ExtraTrees,0.9999567436629466,4.325633705337832e-05,0.0,1.0,0.0,"[[23117     0]
 [    1     0]]"
Bagging,0.9999567436629466,4.325633705337832e-05,0.0,1.0,0.0,"[[23117     0]
 [    1     0]]"
LDA,0.9999567436629466,4.325633705337832e-05,0.0,1.0,0.0,"[[23117     0]
 [    1     0]]"
QDA,0.9999567436629466,4.325633705337832e-05,0.0,1.0,0.0,"[[23117     0]
 [    1     0]]"
DecisionTree,0.9999567436629466,4.325633705337832e-05,0.6666666666666666,0.5,1.0,"[[23116     1]
 [    0     1]]"
RandomForest,0.9999567436629466,4.325633705337832e-05,0.0,1.0,0.0,"[[23117     0]
 [    1     0]]"
GradientBoosting,0.9999567436629466,4.325633705337832e-05,0.6666666666666666,0.5,1.0,"[[23116     1]
 [    0     1]]"
KNeighbors,0.9999567436629466,4.325633705337832e-05,0.0,1.0,0.0,"[[23117     0]
 [    1     0]]"
GaussianNB,0.9983562591919716,0.001643740808028376,0.0,0.0,0.0,"[[23080    37]
 [    1     0]]"
Perceptron,0.9999567436629466,4.325633705337832e-05,0.0,1.0,0.0,"[[23117     0]
 [    1     0]]"
AdaBoost,0.9999567436629466,4.325633705337832e-05,0.0,1.0,0.0,"[[23117     0]
 [    1     0]]"
