,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9660377358490566,0.033962264150943396,0.1,0.9047619047619048,0.052924791086350974,"[[9709    2]
 [ 340   19]]"
ExtraTrees,0.9897715988083416,0.010228401191658392,0.8341384863123994,0.9885496183206107,0.7214484679665738,"[[9708    3]
 [ 100  259]]"
Bagging,0.9984111221449851,0.0015888778550148957,0.9782016348773842,0.9573333333333334,1.0,"[[9695   16]
 [   0  359]]"
LDA,0.9784508440913605,0.02154915590863952,0.7413587604290823,0.6479166666666667,0.8662952646239555,"[[9542  169]
 [  48  311]]"
QDA,0.9643495531281033,0.035650446871896724,0.0,0.0,0.0,"[[9711    0]
 [ 359    0]]"
DecisionTree,0.989175769612711,0.010824230387288978,0.8299531981279252,0.9432624113475178,0.7409470752089137,"[[9695   16]
 [  93  266]]"
RandomForest,0.980635551142006,0.019364448857994043,0.627151051625239,1.0,0.4568245125348189,"[[9711    0]
 [ 195  164]]"
GradientBoosting,0.9916583912611718,0.008341608738828202,0.8675078864353312,1.0,0.766016713091922,"[[9711    0]
 [  84  275]]"
KNeighbors,0.9779543197616684,0.02204568023833168,0.5577689243027888,0.9790209790209791,0.38997214484679665,"[[9708    3]
 [ 219  140]]"
GaussianNB,0.9643495531281033,0.035650446871896724,0.0,0.0,0.0,"[[9711    0]
 [ 359    0]]"
Perceptron,0.9659384309831182,0.03406156901688183,0.09018567639257295,0.9444444444444444,0.04735376044568245,"[[9710    1]
 [ 342   17]]"
AdaBoost,0.9765640516385303,0.023435948361469713,0.5372549019607843,0.9072847682119205,0.3816155988857939,"[[9697   14]
 [ 222  137]]"
