,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9978684531059683,0.002131546894031669,0.9297658862876255,0.879746835443038,0.9858156028368794,"[[9692   19]
 [   2  139]]"
ExtraTrees,0.9900527811611856,0.009947218838814454,0.47311827956989244,0.9777777777777777,0.3120567375886525,"[[9710    1]
 [  97   44]]"
Bagging,0.9854851806739748,0.014514819326025172,0.0,0.0,0.0,"[[9709    2]
 [ 141    0]]"
LDA,0.9960414129110841,0.003958587088915956,0.8761904761904762,0.7931034482758621,0.9787234042553191,"[[9675   36]
 [   3  138]]"
QDA,0.9804100690215185,0.019589930978481527,0.0,0.0,0.0,"[[9659   52]
 [ 141    0]]"
DecisionTree,0.9856881851400731,0.014311814859926919,0.0,0.0,0.0,"[[9711    0]
 [ 141    0]]"
RandomForest,0.985586682907024,0.014413317092976045,0.0,0.0,0.0,"[[9710    1]
 [ 141    0]]"
GradientBoosting,0.9854851806739748,0.014514819326025172,0.0,0.0,0.0,"[[9709    2]
 [ 141    0]]"
KNeighbors,0.9948233861144945,0.0051766138855054815,0.844984802431611,0.7393617021276596,0.9858156028368794,"[[9662   49]
 [   2  139]]"
GaussianNB,0.8739342265529841,0.12606577344701583,0.18503937007874016,0.1019522776572668,1.0,"[[8469 1242]
 [   0  141]]"
Perceptron,0.9981729598051157,0.0018270401948842874,0.9387755102040817,0.9019607843137255,0.9787234042553191,"[[9696   15]
 [   3  138]]"
AdaBoost,0.998375964271214,0.0016240357287860333,0.945578231292517,0.9084967320261438,0.9858156028368794,"[[9697   14]
 [   2  139]]"
