,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9983992204899778,0.0016007795100222717,0.9975340409563632,0.9961456102783726,0.9989263474339704,"[[9693   18]
 [   5 4652]]"
ExtraTrees,0.9958936525612472,0.004106347438752784,0.993641556202177,0.9974037213327563,0.9899076658793214,"[[9699   12]
 [  47 4610]]"
Bagging,0.9983992204899778,0.0016007795100222717,0.9975319240261831,0.996996996996997,0.9980674253811467,"[[9697   14]
 [   9 4648]]"
LDA,0.9973552338530067,0.0026447661469933183,0.9959139784946236,0.997415464139565,0.9944170066566459,"[[9699   12]
 [  26 4631]]"
QDA,0.9780066815144766,0.021993318485523387,0.9651675485008818,0.9916194790486976,0.9400901868155465,"[[9674   37]
 [ 279 4378]]"
DecisionTree,0.9970072383073497,0.0029927616926503343,0.9953758468652543,0.996984058595433,0.9937728151170281,"[[9697   14]
 [  29 4628]]"
RandomForest,0.998956013363029,0.0010439866369710469,0.9983910758339589,0.997428204029147,0.9993558084603822,"[[9699   12]
 [   3 4654]]"
GradientBoosting,0.998260022271715,0.001739977728285078,0.9973155803715237,0.9974226804123711,0.997208503328323,"[[9699   12]
 [  13 4644]]"
KNeighbors,0.9958240534521158,0.0041759465478841875,0.9935828877005348,0.9897720008523333,0.9974232338415289,"[[9663   48]
 [  12 4645]]"
GaussianNB,0.9927616926503341,0.007238307349665924,0.9889078498293516,0.9824115278660733,0.9954906592226755,"[[9628   83]
 [  21 4636]]"
Perceptron,0.9983992204899778,0.0016007795100222717,0.9975340409563632,0.9961456102783726,0.9989263474339704,"[[9693   18]
 [   5 4652]]"
AdaBoost,0.994988864142539,0.005011135857461025,0.9922279792746114,0.9976123290644671,0.9869014386944385,"[[9700   11]
 [  61 4596]]"
