,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9957957342083675,0.004204265791632486,0.0,0.0,0.0,"[[9711    0]
 [  41    0]]"
ExtraTrees,0.9961033634126333,0.003896636587366694,0.5681818181818181,0.5319148936170213,0.6097560975609756,"[[9689   22]
 [  16   25]]"
Bagging,0.9922067268252666,0.007793273174733388,0.05,0.05128205128205128,0.04878048780487805,"[[9674   37]
 [  39    2]]"
LDA,0.9920016406890895,0.007998359310910582,0.0,0.0,0.0,"[[9674   37]
 [  41    0]]"
QDA,0.9940525020508614,0.005947497949138638,0.546875,0.40229885057471265,0.8536585365853658,"[[9659   52]
 [   6   35]]"
DecisionTree,0.9922067268252666,0.007793273174733388,0.07317073170731707,0.07317073170731707,0.07317073170731707,"[[9673   38]
 [  38    3]]"
RandomForest,0.9958982772764561,0.004101722723543888,0.047619047619047616,1.0,0.024390243902439025,"[[9711    0]
 [  40    1]]"
GradientBoosting,0.9923092698933552,0.007690730106644791,0.1176470588235294,0.11363636363636363,0.12195121951219512,"[[9672   39]
 [  36    5]]"
KNeighbors,0.9990771123872026,0.0009228876127973749,0.8800000000000001,0.9705882352941176,0.8048780487804879,"[[9710    1]
 [   8   33]]"
GaussianNB,0.9979491386382281,0.002050861361771944,0.782608695652174,0.7058823529411765,0.8780487804878049,"[[9696   15]
 [   5   36]]"
Perceptron,0.9947703035274815,0.005229696472518457,0.0,0.0,0.0,"[[9701   10]
 [  41    0]]"
AdaBoost,0.9951804757998359,0.004819524200164069,0.0,0.0,0.0,"[[9705    6]
 [  41    0]]"
