,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9989398612181959,0.0010601387818041635,0.9917971662938105,0.9837278106508875,1.0,"[[9700   11]
 [   0  665]]"
ExtraTrees,0.9981688511950655,0.0018311488049344642,0.9859154929577464,0.9722222222222222,1.0,"[[9692   19]
 [   0  665]]"
Bagging,0.9928681572860447,0.007131842713955281,0.9472934472934472,0.8998646820027063,1.0,"[[9637   74]
 [   0  665]]"
LDA,0.9660755589822668,0.03392444101773323,0.7904761904761904,0.6541871921182266,0.9984962406015038,"[[9360  351]
 [   1  664]]"
QDA,0.9355242868157286,0.0644757131842714,0.0,0.0,0.0,"[[9707    4]
 [ 665    0]]"
DecisionTree,0.9928681572860447,0.007131842713955281,0.9472934472934472,0.8998646820027063,1.0,"[[9637   74]
 [   0  665]]"
RandomForest,0.9980724749421742,0.0019275250578257518,0.9851851851851852,0.9708029197080292,1.0,"[[9691   20]
 [   0  665]]"
GradientBoosting,0.9928681572860447,0.007131842713955281,0.9472934472934472,0.8998646820027063,1.0,"[[9637   74]
 [   0  665]]"
KNeighbors,0.9982652274479569,0.0017347725520431765,0.9864661654135338,0.9864661654135338,0.9864661654135338,"[[9702    9]
 [   9  656]]"
GaussianNB,0.9359097918272937,0.06409020817270625,0.0,0.0,0.0,"[[9711    0]
 [ 665    0]]"
Perceptron,0.9976869699306091,0.002313030069390902,0.9822747415066471,0.965166908563135,1.0,"[[9687   24]
 [   0  665]]"
AdaBoost,0.9995181187355435,0.00048188126445643795,0.9962546816479401,0.9925373134328358,1.0,"[[9706    5]
 [   0  665]]"
