,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9994576712403058,0.0005423287596941266,0.9992736253359483,0.998838306832208,0.9997093234503306,"[[23101    16]
 [    4 13757]]"
ExtraTrees,0.9999457671240306,5.423287596941266e-05,0.9999273308625827,0.9999273308625827,0.9999273308625827,"[[23116     1]
 [    1 13760]]"
Bagging,0.9996474863061988,0.0003525136938011823,0.9995278050197959,0.99920116194626,0.9998546617251654,"[[23106    11]
 [    2 13759]]"
LDA,0.9977764520852541,0.002223547914745919,0.997020132277055,0.9971650795958421,0.9968752270910545,"[[23078    39]
 [   43 13718]]"
QDA,0.9928683768100223,0.0071316231899777646,0.9903532259839343,0.9998518737964746,0.9810333551340745,"[[23115     2]
 [  261 13500]]"
DecisionTree,0.9996474863061988,0.0003525136938011823,0.9995278050197959,0.99920116194626,0.9998546617251654,"[[23106    11]
 [    2 13759]]"
RandomForest,0.9999186506860459,8.134931395411899e-05,0.9998909923331274,0.9999273255813953,0.9998546617251654,"[[23116     1]
 [    2 13759]]"
GradientBoosting,0.9996746027441835,0.00032539725581647597,0.9995640802092415,0.9993462628023535,0.999781992587748,"[[23108     9]
 [    3 13758]]"
KNeighbors,0.9997559520581376,0.00024404794186235696,0.9996730720331287,0.999418942475305,0.9999273308625827,"[[23109     8]
 [    1 13760]]"
GaussianNB,0.9979120342751776,0.0020879657248223872,0.9971996945121286,0.9981071636575423,0.9962938739917158,"[[23091    26]
 [   51 13710]]"
Perceptron,0.9995932534302294,0.00040674656977059495,0.9994547635491258,0.9998545454545454,0.9990553012135746,"[[23115     2]
 [   13 13748]]"
AdaBoost,0.9997288356201529,0.0002711643798470633,0.9996367335077012,0.9994189002687587,0.9998546617251654,"[[23109     8]
 [    2 13759]]"
