,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
ExtraTrees,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
Bagging,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
LDA,0.9998269896193772,0.00017301038062283736,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[[23115     2]
 [    2     1]]"
QDA,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
DecisionTree,0.9999134948096886,8.650519031141868e-05,0.5,1.0,0.3333333333333333,"[[23117     0]
 [    2     1]]"
RandomForest,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
GradientBoosting,0.9999134948096886,8.650519031141868e-05,0.6666666666666666,0.6666666666666666,0.6666666666666666,"[[23116     1]
 [    1     2]]"
KNeighbors,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
GaussianNB,0.8482698961937716,0.15173010380622837,0.0017074558907228228,0.000854457419538593,1.0,"[[19609  3508]
 [    0     3]]"
Perceptron,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
AdaBoost,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
