,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9988778166801329,0.0011221833198671336,0.9981832715645665,0.9982558139534884,0.9981107397180642,"[[30770    24]
 [   26 13736]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[30794     0]
 [    0 13762]]"
Bagging,0.999932669000808,6.733099919202801e-05,0.9998910002543328,0.9999273308625827,0.9998546722860049,"[[30793     1]
 [    2 13760]]"
LDA,0.994299308735075,0.005700691264925038,0.9907589318198355,0.9921305741766249,0.9893910768783607,"[[30686   108]
 [  146 13616]]"
QDA,0.9834590178651584,0.016540982134841547,0.9739105809055187,0.9495409677642024,0.9995640168580148,"[[30063   731]
 [    6 13756]]"
DecisionTree,0.9998877816680133,0.00011221833198671335,0.9998183337572212,0.9998546617251654,0.9997820084290074,"[[30792     2]
 [    3 13759]]"
RandomForest,0.9999551126672053,4.488733279468534e-05,0.9999273308625827,1.0,0.9998546722860049,"[[30794     0]
 [    2 13760]]"
GradientBoosting,0.9997755633360266,0.0002244366639734267,0.9996366807150123,0.9996366807150123,0.9996366807150123,"[[30789     5]
 [    5 13757]]"
KNeighbors,0.9991695843432983,0.0008304156567016788,0.9986575233119263,0.9973186462787158,1.0,"[[30757    37]
 [    0 13762]]"
GaussianNB,0.9892045964628782,0.010795403537121825,0.9828060768543342,0.9672131147540983,0.9989100421450371,"[[30328   466]
 [   15 13747]]"
Perceptron,0.9990573660113116,0.0009426339886883921,0.9984757204035711,0.9973897911832946,0.9995640168580148,"[[30758    36]
 [    6 13756]]"
AdaBoost,0.9996184576712451,0.0003815423287548254,0.9993825142566561,0.9991284770135812,0.9996366807150123,"[[30782    12]
 [    5 13757]]"
