,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
ExtraTrees,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
Bagging,0.9999567474048443,4.325259515570934e-05,0.8,1.0,0.6666666666666666,"[[23117     0]
 [    1     2]]"
LDA,0.9993512110726643,0.0006487889273356401,0.21052631578947367,0.125,0.6666666666666666,"[[23103    14]
 [    1     2]]"
QDA,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
DecisionTree,0.9998269896193772,0.00017301038062283736,0.5,0.4,0.6666666666666666,"[[23114     3]
 [    1     2]]"
RandomForest,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
GradientBoosting,0.9998269896193772,0.00017301038062283736,0.5,0.4,0.6666666666666666,"[[23114     3]
 [    1     2]]"
KNeighbors,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
GaussianNB,0.9719290657439447,0.028070934256055363,0.003072196620583717,0.0015432098765432098,0.3333333333333333,"[[22470   647]
 [    2     1]]"
Perceptron,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
AdaBoost,0.9998702422145329,0.00012975778546712804,0.0,1.0,0.0,"[[23117     0]
 [    3     0]]"
