,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9958873908250657,0.004112609174934283,0.8906426155580609,0.947242206235012,0.8404255319148937,"[[23094    22]
 [   75   395]]"
ExtraTrees,0.9997880098363436,0.00021199016365640633,0.9946977730646872,0.9915433403805497,0.997872340425532,"[[23112     4]
 [    1   469]]"
Bagging,0.9994488255744933,0.0005511744255066565,0.9861259338313768,0.9892933618843683,0.9829787234042553,"[[23111     5]
 [    8   462]]"
LDA,0.9895700839481049,0.010429916051895192,0.763915547024952,0.6958041958041958,0.8468085106382979,"[[22942   174]
 [   72   398]]"
QDA,0.982065632154668,0.017934367845331978,0.68828297715549,0.5264937993235626,0.9936170212765958,"[[22696   420]
 [    3   467]]"
DecisionTree,0.9994488255744933,0.0005511744255066565,0.9861554845580406,0.9872068230277186,0.9851063829787234,"[[23110     6]
 [    7   463]]"
RandomForest,0.9995760196726872,0.00042398032731281267,0.9893162393162392,0.9935622317596566,0.9851063829787234,"[[23113     3]
 [    7   463]]"
GradientBoosting,0.9995760196726872,0.00042398032731281267,0.9893162393162392,0.9935622317596566,0.9851063829787234,"[[23113     3]
 [    7   463]]"
KNeighbors,0.999406427541762,0.0005935724582379377,0.9852631578947368,0.975,0.9957446808510638,"[[23104    12]
 [    2   468]]"
GaussianNB,0.8347324684134656,0.16526753158653437,0.19429516329061597,0.10760073260073261,1.0,"[[19218  3898]
 [    0   470]]"
Perceptron,0.9974137200033918,0.0025862799966081575,0.9350372736954208,0.9360341151385928,0.9340425531914893,"[[23086    30]
 [   31   439]]"
AdaBoost,0.9996608157381498,0.00033918426185025017,0.9914346895074946,0.9978448275862069,0.9851063829787234,"[[23115     1]
 [    7   463]]"
