,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999134873258932,8.651267410675664e-05,0.0,1.0,0.0,"[[23116     0]
 [    2     0]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[23116     0]
 [    0     2]]"
Bagging,0.9999567436629466,4.325633705337832e-05,0.8,0.6666666666666666,1.0,"[[23115     1]
 [    0     2]]"
LDA,0.9994376676183061,0.0005623323816939181,0.23529411764705882,0.13333333333333333,1.0,"[[23103    13]
 [    0     2]]"
QDA,0.9999134873258932,8.651267410675664e-05,0.0,1.0,0.0,"[[23116     0]
 [    2     0]]"
DecisionTree,0.9999134873258932,8.651267410675664e-05,0.5,0.5,0.5,"[[23115     1]
 [    1     1]]"
RandomForest,0.9999567436629466,4.325633705337832e-05,0.6666666666666666,1.0,0.5,"[[23116     0]
 [    1     1]]"
GradientBoosting,0.9999567436629466,4.325633705337832e-05,0.8,0.6666666666666666,1.0,"[[23115     1]
 [    0     2]]"
KNeighbors,0.9999134873258932,8.651267410675664e-05,0.0,1.0,0.0,"[[23116     0]
 [    2     0]]"
GaussianNB,1.0,0.0,1.0,1.0,1.0,"[[23116     0]
 [    0     2]]"
Perceptron,0.9999134873258932,8.651267410675664e-05,0.0,1.0,0.0,"[[23116     0]
 [    2     0]]"
AdaBoost,0.9998702309888399,0.00012976901116013495,0.0,0.0,0.0,"[[23115     1]
 [    2     0]]"
