,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9996981327353487,0.0003018672646513433,0.9523809523809523,0.9459459459459459,0.958904109589041,"[[23112     4]
 [    3    70]]"
ExtraTrees,0.9998706283151494,0.0001293716848505757,0.9793103448275863,0.9861111111111112,0.9726027397260274,"[[23115     1]
 [    2    71]]"
Bagging,0.9999568761050498,4.31238949501919e-05,0.993103448275862,1.0,0.9863013698630136,"[[23116     0]
 [    1    72]]"
LDA,0.9990081504161455,0.0009918495838544138,0.8588957055214723,0.7777777777777778,0.958904109589041,"[[23096    20]
 [    3    70]]"
QDA,0.9997412566302989,0.0002587433697011514,0.9600000000000001,0.935064935064935,0.9863013698630136,"[[23111     5]
 [    1    72]]"
DecisionTree,0.9998706283151494,0.0001293716848505757,0.979591836734694,0.972972972972973,0.9863013698630136,"[[23114     2]
 [    1    72]]"
RandomForest,0.9998706283151494,0.0001293716848505757,0.9793103448275863,0.9861111111111112,0.9726027397260274,"[[23115     1]
 [    2    71]]"
GradientBoosting,0.9999137522100996,8.62477899003838e-05,0.9861111111111112,1.0,0.9726027397260274,"[[23116     0]
 [    2    71]]"
KNeighbors,0.9997412566302989,0.0002587433697011514,0.9600000000000001,0.935064935064935,0.9863013698630136,"[[23111     5]
 [    1    72]]"
GaussianNB,0.9919358316443141,0.008064168355685885,0.4384384384384385,0.28076923076923077,1.0,"[[22929   187]
 [    0    73]]"
Perceptron,0.9996550088403985,0.0003449911596015352,0.9459459459459458,0.9333333333333333,0.958904109589041,"[[23111     5]
 [    3    70]]"
AdaBoost,0.9999137522100996,8.62477899003838e-05,0.9861111111111112,1.0,0.9726027397260274,"[[23116     0]
 [    2    71]]"
