,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9993568304605094,0.0006431695394906097,0.9625935162094763,0.9897435897435898,0.9368932038834952,"[[23114     2]
 [   13   193]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[23116     0]
 [    0   206]]"
Bagging,0.9999142440614013,8.575593859874797e-05,0.9951690821256038,0.9903846153846154,1.0,"[[23114     2]
 [    0   206]]"
LDA,0.9947688877454763,0.005231112254523626,0.7626459143968872,0.6363636363636364,0.9514563106796117,"[[23004   112]
 [   10   196]]"
QDA,0.9999142440614013,8.575593859874797e-05,0.9951219512195122,1.0,0.9902912621359223,"[[23116     0]
 [    2   204]]"
DecisionTree,1.0,0.0,1.0,1.0,1.0,"[[23116     0]
 [    0   206]]"
RandomForest,1.0,0.0,1.0,1.0,1.0,"[[23116     0]
 [    0   206]]"
GradientBoosting,0.9999571220307006,4.2877969299373983e-05,0.9975786924939467,0.9951690821256038,1.0,"[[23115     1]
 [    0   206]]"
KNeighbors,0.9998284881228025,0.00017151187719749593,0.9902439024390244,0.9950980392156863,0.9854368932038835,"[[23115     1]
 [    3   203]]"
GaussianNB,0.9999571220307006,4.2877969299373983e-05,0.9975669099756691,1.0,0.9951456310679612,"[[23116     0]
 [    1   205]]"
Perceptron,0.9999142440614013,8.575593859874797e-05,0.9951456310679612,0.9951456310679612,0.9951456310679612,"[[23115     1]
 [    1   205]]"
AdaBoost,1.0,0.0,1.0,1.0,1.0,"[[23116     0]
 [    0   206]]"
