,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9997837463777518,0.00021625362224817266,0.0,1.0,0.0,"[[23116     0]
 [    5     0]]"
ExtraTrees,0.9998269971022015,0.00017300289779853813,0.33333333333333337,1.0,0.2,"[[23116     0]
 [    4     1]]"
Bagging,0.9997837463777518,0.00021625362224817266,0.28571428571428575,0.5,0.2,"[[23115     1]
 [    4     1]]"
LDA,0.9992214869599065,0.0007785130400934215,0.1,0.06666666666666667,0.2,"[[23102    14]
 [    4     1]]"
QDA,0.9997837463777518,0.00021625362224817266,0.0,1.0,0.0,"[[23116     0]
 [    5     0]]"
DecisionTree,0.9996539942044029,0.00034600579559707626,0.20000000000000004,0.2,0.2,"[[23112     4]
 [    4     1]]"
RandomForest,0.9998269971022015,0.00017300289779853813,0.33333333333333337,1.0,0.2,"[[23116     0]
 [    4     1]]"
GradientBoosting,0.9997404956533021,0.0002595043466978072,0.25,0.3333333333333333,0.2,"[[23114     2]
 [    4     1]]"
KNeighbors,0.9997837463777518,0.00021625362224817266,0.0,1.0,0.0,"[[23116     0]
 [    5     0]]"
GaussianNB,0.8890618917866874,0.11093810821331257,0.003109211037699184,0.001557632398753894,0.8,"[[20552  2564]
 [    1     4]]"
Perceptron,0.9997404956533021,0.0002595043466978072,0.0,0.0,0.0,"[[23115     1]
 [    5     0]]"
AdaBoost,0.9998269971022015,0.00017300289779853813,0.5,0.6666666666666666,0.4,"[[23115     1]
 [    3     2]]"
