,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9996972842068846,0.00030271579311537796,0.0,1.0,0.0,"[[23117     0]
 [    7     0]]"
ExtraTrees,0.9998702646600934,0.00012973533990659055,0.7272727272727273,1.0,0.5714285714285714,"[[23117     0]
 [    3     4]]"
Bagging,0.9996972842068846,0.00030271579311537796,0.0,1.0,0.0,"[[23117     0]
 [    7     0]]"
LDA,0.9988756270541429,0.001124372945857118,0.07142857142857142,0.047619047619047616,0.14285714285714285,"[[23097    20]
 [    6     1]]"
QDA,0.9996972842068846,0.00030271579311537796,0.0,1.0,0.0,"[[23117     0]
 [    7     0]]"
DecisionTree,0.999783774433489,0.00021622556651098427,0.4444444444444445,1.0,0.2857142857142857,"[[23117     0]
 [    5     2]]"
RandomForest,0.9996972842068846,0.00030271579311537796,0.0,1.0,0.0,"[[23117     0]
 [    7     0]]"
GradientBoosting,0.9996972842068846,0.00030271579311537796,0.0,1.0,0.0,"[[23117     0]
 [    7     0]]"
KNeighbors,0.9996972842068846,0.00030271579311537796,0.0,1.0,0.0,"[[23117     0]
 [    7     0]]"
GaussianNB,0.7680764573603183,0.2319235426396817,0.0026036823507532077,0.0013035381750465549,1.0,"[[17754  5363]
 [    0     7]]"
Perceptron,0.9997405293201869,0.0002594706798131811,0.25,1.0,0.14285714285714285,"[[23117     0]
 [    6     1]]"
AdaBoost,0.9996540390935824,0.0003459609064175748,0.2,0.3333333333333333,0.14285714285714285,"[[23115     2]
 [    6     1]]"
