,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.999138376701706,0.0008616232982939859,0.8913043478260869,0.9318181818181818,0.8541666666666666,"[[23110     6]
 [   14    82]]"
ExtraTrees,0.9996984318455971,0.00030156815440289503,0.9621621621621621,1.0,0.9270833333333334,"[[23116     0]
 [    7    89]]"
Bagging,0.9996122695157678,0.0003877304842322936,0.9518716577540107,0.978021978021978,0.9270833333333334,"[[23114     2]
 [    7    89]]"
LDA,0.9979321040840944,0.002067895915905566,0.7241379310344829,0.8076923076923077,0.65625,"[[23101    15]
 [   33    63]]"
QDA,0.9884973289677753,0.011502671032224712,0.4079822616407982,0.2591549295774648,0.9583333333333334,"[[22853   263]
 [    4    92]]"
DecisionTree,0.9996553506806825,0.0003446493193175943,0.9587628865979382,0.9489795918367347,0.96875,"[[23111     5]
 [    3    93]]"
RandomForest,0.9996553506806825,0.0003446493193175943,0.9565217391304348,1.0,0.9166666666666666,"[[23116     0]
 [    8    88]]"
GradientBoosting,0.9994830260210236,0.0005169739789763915,0.9361702127659574,0.9565217391304348,0.9166666666666666,"[[23112     4]
 [    8    88]]"
KNeighbors,0.9994830260210236,0.0005169739789763915,0.9347826086956522,0.9772727272727273,0.8958333333333334,"[[23114     2]
 [   10    86]]"
GaussianNB,0.7414268481819748,0.25857315181802515,0.030997739748143363,0.01574286651361102,1.0,"[[17114  6002]
 [    0    96]]"
Perceptron,0.9980613475788386,0.0019386524211614682,0.697986577181208,0.9811320754716981,0.5416666666666666,"[[23115     1]
 [   44    52]]"
AdaBoost,0.9996122695157678,0.0003877304842322936,0.9518716577540107,0.978021978021978,0.9270833333333334,"[[23114     2]
 [    7    89]]"
