,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9894379170589921,0.0105620829410079,0.8993759750390016,0.919457735247209,0.8801526717557252,"[[23016   101]
 [  157  1153]]"
ExtraTrees,0.998771850820813,0.0012281491791869652,0.988540870893812,0.9892966360856269,0.9877862595419847,"[[23103    14]
 [   16  1294]]"
Bagging,0.9986490359028943,0.0013509640971056617,0.9873804971319312,0.989272030651341,0.9854961832061069,"[[23103    14]
 [   19  1291]]"
LDA,0.9812093175584394,0.01879068244156057,0.82633371169126,0.8192048012003,0.833587786259542,"[[22876   241]
 [  218  1092]]"
QDA,0.370696360584599,0.629303639415401,0.14552529182879378,0.07847721822541967,0.999236641221374,"[[ 7746 15371]
 [    1  1309]]"
DecisionTree,0.9982805911491383,0.0017194088508617512,0.9840304182509506,0.9803030303030303,0.9877862595419847,"[[23091    26]
 [   16  1294]]"
RandomForest,0.9991402955745691,0.0008597044254308756,0.9919755445166221,0.9931140015302219,0.9908396946564886,"[[23108     9]
 [   12  1298]]"
GradientBoosting,0.997953084701355,0.002046915298644942,0.9807840122982322,0.9876160990712074,0.9740458015267176,"[[23101    16]
 [   34  1276]]"
KNeighbors,0.9966021206042494,0.0033978793957506036,0.968524838832006,0.9623210248681235,0.9748091603053435,"[[23067    50]
 [   33  1277]]"
GaussianNB,0.7903958734187579,0.20960412658124206,0.3376455368693402,0.20327102803738317,0.9961832061068703,"[[18002  5115]
 [    5  1305]]"
Perceptron,0.9890285339992632,0.010971466000736889,0.896923076923077,0.9038759689922481,0.8900763358778626,"[[22993   124]
 [  144  1166]]"
AdaBoost,0.9965611822982765,0.0034388177017235025,0.9679878048780487,0.9665144596651446,0.9694656488549618,"[[23073    44]
 [   40  1270]]"
