,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9998269971022015,0.00017300289779853813,0.0,1.0,0.0,"[[23117     0]
 [    4     0]]"
ExtraTrees,0.9999567492755503,4.325072444963453e-05,0.8571428571428571,1.0,0.75,"[[23117     0]
 [    1     3]]"
Bagging,0.9999134985511007,8.650144889926907e-05,0.75,0.75,0.75,"[[23116     1]
 [    1     3]]"
LDA,0.9978807145019679,0.002119285498032092,0.0,0.0,0.0,"[[23072    45]
 [    4     0]]"
QDA,0.9998269971022015,0.00017300289779853813,0.0,1.0,0.0,"[[23117     0]
 [    4     0]]"
DecisionTree,0.9999134985511007,8.650144889926907e-05,0.8,0.6666666666666666,1.0,"[[23115     2]
 [    0     4]]"
RandomForest,0.9999134985511007,8.650144889926907e-05,0.6666666666666666,1.0,0.5,"[[23117     0]
 [    2     2]]"
GradientBoosting,0.9978374637775183,0.0021625362224817267,0.10714285714285714,0.057692307692307696,0.75,"[[23068    49]
 [    1     3]]"
KNeighbors,0.9998269971022015,0.00017300289779853813,0.0,1.0,0.0,"[[23117     0]
 [    4     0]]"
GaussianNB,0.8984040482678085,0.10159595173219152,0.002547770700636943,0.0012760527435133986,0.75,"[[20769  2348]
 [    1     3]]"
Perceptron,0.9998269971022015,0.00017300289779853813,0.0,1.0,0.0,"[[23117     0]
 [    4     0]]"
AdaBoost,0.9999567492755503,4.325072444963453e-05,0.8571428571428571,1.0,0.75,"[[23117     0]
 [    1     3]]"
