,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9992534218166735,0.0007465781833264206,0.990990990990991,0.9850746268656716,0.9969788519637462,"[[23102    15]
 [    3   990]]"
ExtraTrees,0.9999170468685192,8.295313148071339e-05,0.998991935483871,1.0,0.9979859013091642,"[[23117     0]
 [    2   991]]"
Bagging,1.0,0.0,1.0,1.0,1.0,"[[23117     0]
 [    0   993]]"
LDA,0.9958938199917047,0.004106180008295313,0.9518248175182481,0.9209039548022598,0.9848942598187311,"[[23033    84]
 [   15   978]]"
QDA,0.9961012028204065,0.0038987971795935296,0.9547206165703276,0.9150507848568791,0.9979859013091642,"[[23025    92]
 [    2   991]]"
DecisionTree,1.0,0.0,1.0,1.0,1.0,"[[23117     0]
 [    0   993]]"
RandomForest,0.9999585234342596,4.1476565740356696e-05,0.9994967287367891,0.9989939637826962,1.0,"[[23116     1]
 [    0   993]]"
GradientBoosting,1.0,0.0,1.0,1.0,1.0,"[[23117     0]
 [    0   993]]"
KNeighbors,0.9994608046453753,0.0005391953546246371,0.9934771700953337,0.99,0.9969788519637462,"[[23107    10]
 [    3   990]]"
GaussianNB,0.9959767731231854,0.0040232268768146,0.9533429533429533,0.9125230202578268,0.9979859013091642,"[[23022    95]
 [    2   991]]"
Perceptron,0.9984653670676068,0.0015346329323931978,0.9810353664787289,0.9989561586638831,0.9637462235649547,"[[23116     1]
 [   36   957]]"
AdaBoost,0.9996267109083368,0.0003732890916632103,0.9954705586311021,0.9949698189134809,0.9959718026183283,"[[23112     5]
 [    4   989]]"
