,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9953480358373535,0.004651964162646451,0.0,0.0,0.0,"[[23108     9]
 [   99     0]]"
ExtraTrees,0.9997415575465196,0.00025844245348035836,0.9702970297029703,0.9514563106796117,0.98989898989899,"[[23112     5]
 [    1    98]]"
Bagging,0.9998277050310131,0.00017229496898690558,0.98,0.9702970297029703,0.98989898989899,"[[23114     3]
 [    1    98]]"
LDA,0.9888439007580979,0.011156099241902136,0.4307692307692308,0.2752808988764045,0.98989898989899,"[[22859   258]
 [    1    98]]"
QDA,0.9971140592694693,0.0028859407305306685,0.7452471482889733,0.5975609756097561,0.98989898989899,"[[23051    66]
 [    1    98]]"
DecisionTree,0.9997846312887664,0.00021536871123363198,0.9751243781094527,0.9607843137254902,0.98989898989899,"[[23113     4]
 [    1    98]]"
RandomForest,1.0,0.0,1.0,1.0,1.0,"[[23117     0]
 [    0    99]]"
GradientBoosting,0.9952188146106133,0.00478118538938663,0.0,0.0,0.0,"[[23105    12]
 [   99     0]]"
KNeighbors,0.9984062715368711,0.0015937284631288766,0.8398268398268399,0.7348484848484849,0.9797979797979798,"[[23082    35]
 [    2    97]]"
GaussianNB,0.989145416953825,0.010854583046175051,0.4375,0.2808022922636103,0.98989898989899,"[[22866   251]
 [    1    98]]"
Perceptron,0.9957356995175741,0.004264300482425913,0.0,1.0,0.0,"[[23117     0]
 [   99     0]]"
AdaBoost,0.9991385251550655,0.0008614748449345279,0.9029126213592232,0.8691588785046729,0.9393939393939394,"[[23103    14]
 [    6    93]]"
