,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[23116     0]
 [    0     1]]"
Bagging,1.0,0.0,1.0,1.0,1.0,"[[23116     0]
 [    0     1]]"
LDA,0.99991348358351,8.651641649002898e-05,0.5,0.3333333333333333,1.0,"[[23114     2]
 [    0     1]]"
DecisionTree,1.0,0.0,1.0,1.0,1.0,"[[23116     0]
 [    0     1]]"
RandomForest,1.0,0.0,1.0,1.0,1.0,"[[23116     0]
 [    0     1]]"
GradientBoosting,1.0,0.0,1.0,1.0,1.0,"[[23116     0]
 [    0     1]]"
KNeighbors,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
GaussianNB,0.999956741791755,4.325820824501449e-05,0.0,1.0,0.0,"[[23116     0]
 [    1     0]]"
Perceptron,0.9996539343340399,0.00034606566596011594,0.19999999999999998,0.1111111111111111,1.0,"[[23108     8]
 [    0     1]]"
AdaBoost,1.0,0.0,1.0,1.0,1.0,"[[23116     0]
 [    0     1]]"
