,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9991876175816659,0.0008123824183341885,0.9657657657657658,0.9436619718309859,0.988929889298893,"[[23101    16]
 [    3   268]]"
ExtraTrees,0.99978621515307,0.0002137848469300496,0.990791896869245,0.9889705882352942,0.992619926199262,"[[23114     3]
 [    2   269]]"
Bagging,0.99978621515307,0.0002137848469300496,0.990791896869245,0.9889705882352942,0.992619926199262,"[[23114     3]
 [    2   269]]"
LDA,0.9991876175816659,0.0008123824183341885,0.9657657657657658,0.9436619718309859,0.988929889298893,"[[23101    16]
 [    3   268]]"
QDA,0.9993158884898239,0.0006841115101761587,0.971326164874552,0.9442508710801394,1.0,"[[23101    16]
 [    0   271]]"
DecisionTree,0.9997007012142979,0.0002992987857020694,0.9871559633027522,0.9817518248175182,0.992619926199262,"[[23112     5]
 [    2   269]]"
RandomForest,0.99978621515307,0.0002137848469300496,0.990791896869245,0.9889705882352942,0.992619926199262,"[[23114     3]
 [    2   269]]"
GradientBoosting,0.9997434581836839,0.0002565418163160595,0.988970588235294,0.9853479853479854,0.992619926199262,"[[23113     4]
 [    2   269]]"
KNeighbors,0.9995296733367539,0.0004703266632461091,0.979890310786106,0.9710144927536232,0.988929889298893,"[[23109     8]
 [    3   268]]"
GaussianNB,0.9793056268171711,0.020694373182828803,0.5282651072124755,0.35894039735099337,1.0,"[[22633   484]
 [    0   271]]"
Perceptron,0.9928595861125363,0.007140413887463656,0.5593667546174143,0.9814814814814815,0.39114391143911437,"[[23115     2]
 [  165   106]]"
AdaBoost,0.9997007012142979,0.0002992987857020694,0.9871559633027522,0.9817518248175182,0.992619926199262,"[[23112     5]
 [    2   269]]"
