,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9926873075607253,0.007312692439274718,0.6384778012684988,0.7330097087378641,0.5655430711610487,"[[23062    55]
 [  116   151]]"
ExtraTrees,0.9994868286007527,0.0005131713992473486,0.9774436090225566,0.9811320754716981,0.9737827715355806,"[[23112     5]
 [    7   260]]"
Bagging,0.9995295928840232,0.00047040711597673624,0.9792060491493384,0.9885496183206107,0.9700374531835206,"[[23114     3]
 [    8   259]]"
LDA,0.9875555935682518,0.012444406431748205,0.6235446313065978,0.4762845849802372,0.9026217228464419,"[[22852   265]
 [   26   241]]"
QDA,0.8752138214163531,0.12478617858364693,0.1537122969837587,0.08330713612071676,0.9925093632958801,"[[20201  2916]
 [    2   265]]"
DecisionTree,0.9996578857338351,0.00034211426616489907,0.9851851851851853,0.9743589743589743,0.9962546816479401,"[[23110     7]
 [    1   266]]"
RandomForest,0.9998289428669176,0.00017105713308244953,0.9924528301886792,1.0,0.9850187265917603,"[[23117     0]
 [    4   263]]"
GradientBoosting,0.9993157714676703,0.0006842285323297981,0.9696969696969696,0.9808429118773946,0.9588014981273408,"[[23112     5]
 [   11   256]]"
KNeighbors,0.9980328429695519,0.00196715703044817,0.9148148148148149,0.9047619047619048,0.9250936329588015,"[[23091    26]
 [   20   247]]"
GaussianNB,0.7611187136503592,0.2388812863496408,0.08635917566241413,0.04515135967162647,0.9887640449438202,"[[17534  5583]
 [    3   264]]"
Perceptron,0.977933629832364,0.02206637016763599,0.5019305019305019,0.3381014304291287,0.9737827715355806,"[[22608   509]
 [    7   260]]"
AdaBoost,0.9992302429011289,0.000769757098871023,0.9659090909090908,0.9770114942528736,0.9550561797752809,"[[23111     6]
 [   12   255]]"
