,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9907288729385627,0.009271127061437238,0.49417249417249415,0.7571428571428571,0.36678200692041524,"[[23083    34]
 [  183   106]]"
ExtraTrees,0.9994873109459113,0.0005126890540886952,0.9788732394366197,0.996415770609319,0.9619377162629758,"[[23116     1]
 [   11   278]]"
Bagging,0.9996154832094335,0.00038451679056652143,0.9842381786339756,0.9964539007092199,0.972318339100346,"[[23116     1]
 [    8   281]]"
LDA,0.9880372554045971,0.011962744595402888,0.5155709342560554,0.5155709342560554,0.5155709342560554,"[[22977   140]
 [  140   149]]"
QDA,0.9753909254037426,0.02460907459625737,0.49738219895287955,0.33255542590431736,0.986159169550173,"[[22545   572]
 [    4   285]]"
DecisionTree,0.9994445868580706,0.0005554131419294198,0.9775474956822108,0.9758620689655172,0.9792387543252595,"[[23110     7]
 [    6   283]]"
RandomForest,0.9993591386823891,0.000640861317610869,0.9734513274336284,0.9963768115942029,0.9515570934256056,"[[23116     1]
 [   14   275]]"
GradientBoosting,0.9994018627702299,0.0005981372297701444,0.9754385964912281,0.9893238434163701,0.9619377162629758,"[[23114     3]
 [   11   278]]"
KNeighbors,0.9976501751687602,0.002349824831239853,0.9033391915641475,0.9178571428571428,0.889273356401384,"[[23094    23]
 [   32   257]]"
GaussianNB,0.8447406647868068,0.1552593352131932,0.1359961959106039,0.07301506254786827,0.9896193771626297,"[[19486  3631]
 [    3   286]]"
Perceptron,0.987738186789712,0.01226181321028796,0.11692307692307692,0.5277777777777778,0.0657439446366782,"[[23100    17]
 [  270    19]]"
AdaBoost,0.9991455182431855,0.000854481756814492,0.9647887323943662,0.982078853046595,0.9480968858131488,"[[23112     5]
 [   15   274]]"
