,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9998702366019292,0.0001297633980708508,0.0,1.0,0.0,"[[23116     0]
 [    3     0]]"
ExtraTrees,0.9999134910679528,8.650893204723387e-05,0.5,1.0,0.3333333333333333,"[[23116     0]
 [    2     1]]"
Bagging,0.9998269821359055,0.00017301786409446775,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[[23114     2]
 [    2     1]]"
LDA,0.9996972187378347,0.00030278126216531855,0.2222222222222222,0.16666666666666666,0.3333333333333333,"[[23111     5]
 [    2     1]]"
QDA,0.9998702366019292,0.0001297633980708508,0.0,1.0,0.0,"[[23116     0]
 [    3     0]]"
DecisionTree,0.9996539642718111,0.0003460357281889355,0.3333333333333333,0.2222222222222222,0.6666666666666666,"[[23109     7]
 [    1     2]]"
RandomForest,0.9998702366019292,0.0001297633980708508,0.0,1.0,0.0,"[[23116     0]
 [    3     0]]"
GradientBoosting,0.9997404732038583,0.0002595267961417016,0.4,0.2857142857142857,0.6666666666666666,"[[23111     5]
 [    1     2]]"
KNeighbors,0.9998702366019292,0.0001297633980708508,0.0,1.0,0.0,"[[23116     0]
 [    3     0]]"
GaussianNB,0.979108092910593,0.02089190708940698,0.008213552361396304,0.004132231404958678,0.6666666666666666,"[[22634   482]
 [    1     2]]"
Perceptron,0.9998702366019292,0.0001297633980708508,0.0,1.0,0.0,"[[23116     0]
 [    3     0]]"
AdaBoost,0.9999567455339764,4.3254466023616936e-05,0.8,1.0,0.6666666666666666,"[[23116     0]
 [    1     2]]"
