,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9998269971022015,0.00017300289779853813,0.0,1.0,0.0,"[[23117     0]
 [    4     0]]"
ExtraTrees,0.9999134985511007,8.650144889926907e-05,0.6666666666666666,1.0,0.5,"[[23117     0]
 [    2     2]]"
Bagging,0.9998702478266511,0.0001297521733489036,0.4,1.0,0.25,"[[23117     0]
 [    3     1]]"
LDA,0.9998269971022015,0.00017300289779853813,0.5,0.5,0.5,"[[23115     2]
 [    2     2]]"
QDA,0.9998269971022015,0.00017300289779853813,0.0,1.0,0.0,"[[23117     0]
 [    4     0]]"
DecisionTree,0.9998269971022015,0.00017300289779853813,0.6666666666666666,0.5,1.0,"[[23113     4]
 [    0     4]]"
RandomForest,0.9998269971022015,0.00017300289779853813,0.0,1.0,0.0,"[[23117     0]
 [    4     0]]"
GradientBoosting,0.9998269971022015,0.00017300289779853813,0.6666666666666666,0.5,1.0,"[[23113     4]
 [    0     4]]"
KNeighbors,0.9998269971022015,0.00017300289779853813,0.0,1.0,0.0,"[[23117     0]
 [    4     0]]"
GaussianNB,0.8464599282037975,0.15354007179620258,0.0022484541877459247,0.0011254924029262803,1.0,"[[19567  3550]
 [    0     4]]"
Perceptron,0.9999134985511007,8.650144889926907e-05,0.6666666666666666,1.0,0.5,"[[23117     0]
 [    2     2]]"
AdaBoost,0.9998702478266511,0.0001297521733489036,0.6666666666666665,0.6,0.75,"[[23115     2]
 [    1     3]]"
