,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9995286830056558,0.00047131699434419606,0.9538461538461539,0.9273504273504274,0.9819004524886877,"[[44318    17]
 [    4   217]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[44335     0]
 [    0   221]]"
Bagging,0.9999551126672053,4.488733279468534e-05,0.9954545454545455,1.0,0.9909502262443439,"[[44335     0]
 [    2   219]]"
LDA,0.9899227937875932,0.01007720621240686,0.4037184594953519,0.2857142857142857,0.6877828054298643,"[[43955   380]
 [   69   152]]"
QDA,0.9979127390250472,0.0020872609749528685,0.8261682242990653,0.7038216560509554,1.0,"[[44242    93]
 [    0   221]]"
DecisionTree,0.9998653380016159,0.00013466199838405601,0.9864864864864865,0.9820627802690582,0.9909502262443439,"[[44331     4]
 [    2   219]]"
RandomForest,1.0,0.0,1.0,1.0,1.0,"[[44335     0]
 [    0   221]]"
GradientBoosting,0.9989900350121196,0.0010099649878804202,0.8941176470588235,0.9313725490196079,0.8597285067873304,"[[44321    14]
 [   31   190]]"
KNeighbors,0.9999551126672053,4.488733279468534e-05,0.995475113122172,0.995475113122172,0.995475113122172,"[[44334     1]
 [    1   220]]"
GaussianNB,0.9900125684531825,0.009987431546817489,0.4983089064261556,0.33183183183183185,1.0,"[[43890   445]
 [    0   221]]"
Perceptron,0.9989451476793249,0.0010548523206751054,0.9038854805725971,0.8246268656716418,1.0,"[[44288    47]
 [    0   221]]"
AdaBoost,1.0,0.0,1.0,1.0,1.0,"[[44335     0]
 [    0   221]]"
