,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9998428943352186,0.00015710566478139868,0.9843400447427293,0.9734513274336283,0.995475113122172,"[[44329     6]
 [    1   220]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.9977324263038548,1.0,0.995475113122172,"[[44335     0]
 [    1   220]]"
Bagging,0.999932669000808,6.733099919202801e-05,0.9931662870159453,1.0,0.9864253393665159,"[[44335     0]
 [    3   218]]"
LDA,0.9980922883562259,0.001907711643774127,0.8210526315789473,0.7677165354330708,0.8823529411764706,"[[44276    59]
 [   26   195]]"
QDA,0.9973740910315109,0.0026259089684890925,0.7899461400359067,0.6547619047619048,0.995475113122172,"[[44219   116]
 [    1   220]]"
DecisionTree,0.999932669000808,6.733099919202801e-05,0.9932279909706545,0.990990990990991,0.995475113122172,"[[44333     2]
 [    1   220]]"
RandomForest,0.9999775563336026,2.244366639734267e-05,0.9977324263038548,1.0,0.995475113122172,"[[44335     0]
 [    1   220]]"
GradientBoosting,0.9997531196696292,0.00024688033037076936,0.975609756097561,0.9565217391304348,0.995475113122172,"[[44325    10]
 [    1   220]]"
GaussianNB,0.9912694137714337,0.008730586228566298,0.5307599517490953,0.3618421052631579,0.995475113122172,"[[43947   388]
 [    1   220]]"
Perceptron,0.9998877816680133,0.00011221833198671335,0.9887133182844244,0.9864864864864865,0.9909502262443439,"[[44332     3]
 [    2   219]]"
AdaBoost,0.999932669000808,6.733099919202801e-05,0.9932279909706545,0.990990990990991,0.995475113122172,"[[44333     2]
 [    1   220]]"
