,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9918978364305593,0.008102163569440704,0.24,0.7125,0.14430379746835442,"[[44138    23]
 [  338    57]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[44161     0]
 [    0   395]]"
Bagging,0.9999551126672053,4.488733279468534e-05,0.9974619289340101,1.0,0.9949367088607595,"[[44161     0]
 [    2   393]]"
LDA,0.9826959332076488,0.0173040667923512,0.3726606997558991,0.2745803357314149,0.579746835443038,"[[43556   605]
 [  166   229]]"
QDA,0.8993850435407128,0.10061495645928718,0.1488513385228783,0.08045977011494253,0.9924050632911392,"[[39681  4480]
 [    3   392]]"
DecisionTree,0.999932669000808,6.733099919202801e-05,0.9962073324905184,0.9949494949494949,0.9974683544303797,"[[44159     2]
 [    1   394]]"
RandomForest,1.0,0.0,1.0,1.0,1.0,"[[44161     0]
 [    0   395]]"
GradientBoosting,0.9999775563336026,2.244366639734267e-05,0.9987325728770595,1.0,0.9974683544303797,"[[44161     0]
 [    1   394]]"
GaussianNB,0.8985097405512165,0.10149025944878355,0.14775725593667544,0.07982081042557523,0.9924050632911392,"[[39642  4519]
 [    3   392]]"
Perceptron,0.9915836251009965,0.008416374899003501,0.10501193317422435,0.9166666666666666,0.05569620253164557,"[[44159     2]
 [  373    22]]"
AdaBoost,1.0,0.0,1.0,1.0,1.0,"[[44161     0]
 [    0   395]]"
