,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9995960140048479,0.00040398599515216807,0.1,0.2,0.06666666666666667,"[[44537     4]
 [   14     1]]"
ExtraTrees,0.9997980070024239,0.00020199299757608404,0.608695652173913,0.875,0.4666666666666667,"[[44540     1]
 [    8     7]]"
Bagging,0.9997980070024239,0.00020199299757608404,0.7272727272727272,0.6666666666666666,0.8,"[[44535     6]
 [    3    12]]"
LDA,0.9987431546817488,0.0012568453182511894,0.2631578947368421,0.16393442622950818,0.6666666666666666,"[[44490    51]
 [    5    10]]"
QDA,0.9306041834994164,0.06939581650058353,0.006426735218508997,0.0032289312237649337,0.6666666666666666,"[[41454  3087]
 [    5    10]]"
DecisionTree,0.9998204506688213,0.00017954933117874137,0.7500000000000001,0.7058823529411765,0.8,"[[44536     5]
 [    3    12]]"
RandomForest,0.9998428943352186,0.00015710566478139868,0.6956521739130436,1.0,0.5333333333333333,"[[44541     0]
 [    7     8]]"
GradientBoosting,0.9986084926833647,0.0013915073166352455,0.08823529411764706,0.05660377358490566,0.2,"[[44491    50]
 [   12     3]]"
KNeighbors,0.9996409013376425,0.00035909866235748274,0.33333333333333337,0.4444444444444444,0.26666666666666666,"[[44536     5]
 [   11     4]]"
GaussianNB,0.8020917497082324,0.19790825029176767,0.0027143180275955667,0.0013594652769910501,0.8,"[[35726  8815]
 [    3    12]]"
Perceptron,0.9993042463416824,0.0006957536583176228,0.4150943396226416,0.2894736842105263,0.7333333333333333,"[[44514    27]
 [    4    11]]"
AdaBoost,0.9997755633360266,0.0002244366639734267,0.6428571428571429,0.6923076923076923,0.6,"[[44537     4]
 [    6     9]]"
