,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.999932669000808,6.733099919202801e-05,0.0,1.0,0.0,"[[44553     0]
 [    3     0]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[44553     0]
 [    0     3]]"
Bagging,0.999932669000808,6.733099919202801e-05,0.4,0.5,0.3333333333333333,"[[44552     1]
 [    2     1]]"
LDA,0.9997306760032318,0.00026932399676811203,0.14285714285714288,0.09090909090909091,0.3333333333333333,"[[44543    10]
 [    2     1]]"
QDA,0.999932669000808,6.733099919202801e-05,0.0,1.0,0.0,"[[44553     0]
 [    3     0]]"
DecisionTree,0.9998877816680133,0.00011221833198671335,0.28571428571428575,0.25,0.3333333333333333,"[[44550     3]
 [    2     1]]"
RandomForest,0.9999775563336026,2.244366639734267e-05,0.8,1.0,0.6666666666666666,"[[44553     0]
 [    1     2]]"
GradientBoosting,0.9998877816680133,0.00011221833198671335,1.0,0.0,0.0,"[[44551     2]
 [    3     0]]"
GaussianNB,0.9781623125953856,0.021837687404614416,0.006128702757916241,0.0030737704918032786,1.0,"[[43580   973]
 [    0     3]]"
Perceptron,0.999932669000808,6.733099919202801e-05,0.0,1.0,0.0,"[[44553     0]
 [    3     0]]"
AdaBoost,0.9999102253344107,8.977466558937069e-05,1.0,0.0,0.0,"[[44552     1]
 [    3     0]]"
