,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9996857886704372,0.00031421132956279736,0.9819121447028424,0.9768637532133676,0.987012987012987,"[[44162     9]
 [    5   380]]"
ExtraTrees,0.999932669000808,6.733099919202801e-05,0.9961089494163424,0.9948186528497409,0.9974025974025974,"[[44169     2]
 [    1   384]]"
Bagging,0.9998204506688213,0.00017954933117874137,0.9895561357702349,0.994750656167979,0.9844155844155844,"[[44169     2]
 [    6   379]]"
LDA,0.9962967950444385,0.0037032049555615404,0.8216216216216217,0.7037037037037037,0.987012987012987,"[[44011   160]
 [    5   380]]"
QDA,0.9981820630218152,0.0018179369781847563,0.903914590747331,0.8318777292576419,0.9896103896103896,"[[44094    77]
 [    4   381]]"
DecisionTree,0.9998428943352186,0.00015710566478139868,0.9909208819714656,0.9896373056994818,0.9922077922077922,"[[44167     4]
 [    3   382]]"
RandomForest,0.999932669000808,6.733099919202801e-05,0.9960988296488947,0.9973958333333334,0.9948051948051948,"[[44170     1]
 [    2   383]]"
GradientBoosting,0.9996857886704372,0.00031421132956279736,0.9819121447028424,0.9768637532133676,0.987012987012987,"[[44162     9]
 [    5   380]]"
GaussianNB,0.9893841457940569,0.010615854205943083,0.6194690265486726,0.44871794871794873,1.0,"[[43698   473]
 [    0   385]]"
Perceptron,0.9994837956728612,0.0005162043271388814,0.9706257982120051,0.9547738693467337,0.987012987012987,"[[44153    18]
 [    5   380]]"
AdaBoost,0.9997755633360266,0.0002244366639734267,0.9870466321243523,0.9844961240310077,0.9896103896103896,"[[44165     6]
 [    4   381]]"
