,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9355642337732292,0.0644357662267708,0.9318489329883448,0.9487625676720804,0.915527776482112,"[[22057  1060]
 [ 1811 19628]]"
ExtraTrees,0.995286830056558,0.0047131699434419605,0.9950984968723742,0.9958888110254613,0.9943094360744438,"[[23029    88]
 [  122 21317]]"
Bagging,0.9946584073974325,0.005341592602567556,0.994445740956826,0.9950959787025361,0.9937963524418116,"[[23012   105]
 [  133 21306]]"
LDA,0.9291902325163839,0.07080976748361613,0.9247860395260686,0.9457772576555491,0.9047063762302346,"[[22005  1112]
 [ 2043 19396]]"
QDA,0.9426115450219948,0.05738845497800521,0.9392795231649689,0.9567047213622291,0.9224777275059471,"[[22222   895]
 [ 1662 19777]]"
DecisionTree,0.9934913367447706,0.0065086632552293746,0.9932382018280171,0.9930066669774815,0.9934698446755912,"[[22967   150]
 [  140 21299]]"
RandomForest,0.9949501750605979,0.005049824939402101,0.9947504724574789,0.995145177854542,0.9943560800410467,"[[23013   104]
 [  121 21318]]"
GradientBoosting,0.9818206302181525,0.018179369781847563,0.9810019701660568,0.986601877624192,0.9754652735668641,"[[22833   284]
 [  526 20913]]"
GaussianNB,0.8781308914624293,0.1218691085375707,0.8722593394184625,0.8799183634724002,0.8647324968515323,"[[20587  2530]
 [ 2900 18539]]"
Perceptron,0.9133898913726546,0.08661010862734536,0.9051353278104181,0.9568607068607069,0.8587154251597556,"[[22287   830]
 [ 3029 18410]]"
AdaBoost,0.9634392674387288,0.03656073256127121,0.9616552503354282,0.9706804789963885,0.952796305797845,"[[22500   617]
 [ 1012 20427]]"
