,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.999932669000808,6.733099919202801e-05,0.4,1.0,0.25,"[[44552     0]
 [    3     1]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.8571428571428571,1.0,0.75,"[[44552     0]
 [    1     3]]"
Bagging,1.0,0.0,1.0,1.0,1.0,"[[44552     0]
 [    0     4]]"
LDA,0.9937382170751414,0.006261782924858605,0.02787456445993031,0.014134275618374558,1.0,"[[44273   279]
 [    0     4]]"
QDA,0.9999102253344107,8.977466558937069e-05,0.0,1.0,0.0,"[[44552     0]
 [    4     0]]"
DecisionTree,0.9999551126672053,4.488733279468534e-05,0.8,0.6666666666666666,1.0,"[[44550     2]
 [    0     4]]"
RandomForest,0.9999775563336026,2.244366639734267e-05,0.8571428571428571,1.0,0.75,"[[44552     0]
 [    1     3]]"
GradientBoosting,0.9998653380016159,0.00013466199838405601,1.0,0.0,0.0,"[[44550     2]
 [    4     0]]"
GaussianNB,0.9940075410719095,0.0059924589280904925,0.021978021978021976,0.011152416356877323,0.75,"[[44286   266]
 [    1     3]]"
Perceptron,0.9999102253344107,8.977466558937069e-05,0.0,1.0,0.0,"[[44552     0]
 [    4     0]]"
AdaBoost,0.999932669000808,6.733099919202801e-05,0.6666666666666665,0.6,0.75,"[[44550     2]
 [    1     3]]"
