,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9983167250201993,0.0016832749798007002,0.967032967032967,0.9540329575021682,0.9803921568627451,"[[43381    53]
 [   22  1100]]"
ExtraTrees,0.9991920280096956,0.0008079719903043361,0.984,0.9813829787234043,0.9866310160427807,"[[43413    21]
 [   15  1107]]"
Bagging,0.999012478678517,0.0009875213214830775,0.9804791481810117,0.976148409893993,0.9848484848484849,"[[43407    27]
 [   17  1105]]"
LDA,0.9889577161325074,0.011042283867492593,0.8129277566539924,0.7088859416445623,0.9527629233511586,"[[42995   439]
 [   53  1069]]"
QDA,0.9878130891462429,0.012186910853757069,0.8050269299820466,0.6740829825616356,0.9991087344028521,"[[42892   542]
 [    1  1121]]"
DecisionTree,0.9988778166801329,0.0011221833198671336,0.9777975133214921,0.9743362831858408,0.9812834224598931,"[[43405    29]
 [   21  1101]]"
RandomForest,0.9991920280096956,0.0008079719903043361,0.9839715048975957,0.9830960854092526,0.9848484848484849,"[[43415    19]
 [   17  1105]]"
GradientBoosting,0.9991920280096956,0.0008079719903043361,0.9840566873339238,0.9779929577464789,0.9901960784313726,"[[43409    25]
 [   11  1111]]"
GaussianNB,0.7654187988149744,0.2345812011850256,0.17661887505908302,0.09687175941928794,0.9991087344028521,"[[32983 10451]
 [    1  1121]]"
Perceptron,0.997441422030703,0.0025585779692970643,0.9475620975160994,0.9790874524714829,0.9180035650623886,"[[43412    22]
 [   92  1030]]"
AdaBoost,0.998496274351378,0.001503725648621959,0.9698062190175755,0.9808568824065633,0.9590017825311943,"[[43413    21]
 [   46  1076]]"
