,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.999932669000808,6.733099919202801e-05,0.0,1.0,0.0,"[[44553     0]
 [    3     0]]"
ExtraTrees,0.999932669000808,6.733099919202801e-05,0.0,1.0,0.0,"[[44553     0]
 [    3     0]]"
Bagging,0.9998877816680133,0.00011221833198671335,1.0,0.0,0.0,"[[44551     2]
 [    3     0]]"
QDA,0.999932669000808,6.733099919202801e-05,0.0,1.0,0.0,"[[44553     0]
 [    3     0]]"
DecisionTree,0.9998428943352186,0.00015710566478139868,1.0,0.0,0.0,"[[44549     4]
 [    3     0]]"
RandomForest,0.999932669000808,6.733099919202801e-05,0.0,1.0,0.0,"[[44553     0]
 [    3     0]]"
GradientBoosting,0.9998428943352186,0.00015710566478139868,1.0,0.0,0.0,"[[44549     4]
 [    3     0]]"
GaussianNB,0.9934913367447706,0.0065086632552293746,1.0,0.0,0.0,"[[44266   287]
 [    3     0]]"
Perceptron,0.999932669000808,6.733099919202801e-05,0.0,1.0,0.0,"[[44553     0]
 [    3     0]]"
AdaBoost,0.9999102253344107,8.977466558937069e-05,1.0,0.0,0.0,"[[44552     1]
 [    3     0]]"
