,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9985411616841727,0.0014588383158272735,0.4347826086956523,0.9259259259259259,0.2840909090909091,"[[44466     2]
 [   63    25]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.9942857142857142,1.0,0.9886363636363636,"[[44468     0]
 [    1    87]]"
Bagging,1.0,0.0,1.0,1.0,1.0,"[[44468     0]
 [    0    88]]"
QDA,1.0,0.0,1.0,1.0,1.0,"[[44468     0]
 [    0    88]]"
DecisionTree,1.0,0.0,1.0,1.0,1.0,"[[44468     0]
 [    0    88]]"
RandomForest,1.0,0.0,1.0,1.0,1.0,"[[44468     0]
 [    0    88]]"
GradientBoosting,0.9999775563336026,2.244366639734267e-05,0.9943502824858756,0.9887640449438202,1.0,"[[44467     1]
 [    0    88]]"
GaussianNB,0.9993940210072717,0.0006059789927282521,0.8669950738916257,0.7652173913043478,1.0,"[[44441    27]
 [    0    88]]"
Perceptron,0.9997980070024239,0.00020199299757608404,0.9508196721311476,0.9157894736842105,0.9886363636363636,"[[44460     8]
 [    1    87]]"
AdaBoost,1.0,0.0,1.0,1.0,1.0,"[[44468     0]
 [    0    88]]"
