,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9987655983481462,0.001234401651853847,0.998001235599811,0.9982551799345692,0.9977474204330766,"[[30770    24]
 [   31 13731]]"
ExtraTrees,0.9999551126672053,4.488733279468534e-05,0.9999273308625827,1.0,0.9998546722860049,"[[30794     0]
 [    2 13760]]"
Bagging,0.9997082323368346,0.0002917676631654547,0.9995276334435522,0.9996366014972018,0.9994186891440198,"[[30789     5]
 [    8 13754]]"
LDA,0.9921896040937247,0.007810395906275249,0.9873583260680034,0.9872148772337643,0.9875018165964249,"[[30618   176]
 [  172 13590]]"
QDA,0.9924140407576981,0.0075859592423018225,0.9878347250215953,0.9786763657110256,0.9971661095770964,"[[30495   299]
 [   39 13723]]"
DecisionTree,0.9995735703384505,0.00042642966154951073,0.9993098187366051,0.999128350403138,0.9994913530010173,"[[30782    12]
 [    7 13755]]"
RandomForest,0.9999551126672053,4.488733279468534e-05,0.9999273308625827,1.0,0.9998546722860049,"[[30794     0]
 [    2 13760]]"
GradientBoosting,0.9996633450040399,0.00033665499596014,0.9994548824363122,0.9997091966557615,0.9992006975730272,"[[30790     4]
 [   11 13751]]"
KNeighbors,0.9998653380016159,0.00013466199838405601,0.9997820084290074,0.9997820084290074,0.9997820084290074,"[[30791     3]
 [    3 13759]]"
GaussianNB,0.9840649968578867,0.015935003142113296,0.9747743906771833,0.9536985539488321,0.9968027902921087,"[[30128   666]
 [   44 13718]]"
Perceptron,0.9981596193554179,0.001840380644582099,0.9970138383102695,0.9993429697766097,0.9946955384391803,"[[30785     9]
 [   73 13689]]"
AdaBoost,0.9996409013376425,0.00035909866235748274,0.9994186469006614,0.9994912790697674,0.9993460252870222,"[[30787     7]
 [    9 13753]]"
