,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9983167250201993,0.0016832749798007002,0.9173098125689084,0.9519450800915332,0.8851063829787233,"[[44065    21]
 [   54   416]]"
ExtraTrees,0.9994164646736691,0.0005835353263309094,0.9725158562367864,0.9663865546218487,0.9787234042553191,"[[44070    16]
 [   10   460]]"
Bagging,0.9995286830056558,0.00047131699434419606,0.9775401069518717,0.9827956989247312,0.9723404255319149,"[[44078     8]
 [   13   457]]"
LDA,0.9964763443756172,0.003523655624382799,0.8302702702702702,0.843956043956044,0.8170212765957446,"[[44015    71]
 [   86   384]]"
QDA,0.9714067690097854,0.02859323099021456,0.41613198900091664,0.2651869158878505,0.9659574468085106,"[[42828  1258]
 [   16   454]]"
DecisionTree,0.9995062393392584,0.0004937606607415387,0.9766454352441613,0.9745762711864406,0.9787234042553191,"[[44074    12]
 [   10   460]]"
RandomForest,0.9994389083400664,0.0005610916599335668,0.973432518597237,0.9723991507430998,0.9744680851063829,"[[44073    13]
 [   12   458]]"
GradientBoosting,0.9995735703384505,0.00042642966154951073,0.9797225186766274,0.9828693790149893,0.9765957446808511,"[[44078     8]
 [   11   459]]"
KNeighbors,0.9994613520064638,0.0005386479935362241,0.9745762711864406,0.9704641350210971,0.9787234042553191,"[[44072    14]
 [   10   460]]"
GaussianNB,0.9352051351108717,0.06479486488912829,0.23966289175664998,0.13675984370303576,0.9680851063829787,"[[41214  2872]
 [   15   455]]"
Perceptron,0.9922344914265194,0.007765508573480564,0.4401294498381877,0.918918918918919,0.28936170212765955,"[[44074    12]
 [  334   136]]"
AdaBoost,0.9993715773408745,0.0006284226591255947,0.9702127659574468,0.9702127659574468,0.9702127659574468,"[[44072    14]
 [   14   456]]"
