,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
ExtraTrees,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
Bagging,0.9999775563336026,2.244366639734267e-05,0.6666666666666666,1.0,0.5,"[[44554     0]
 [    1     1]]"
LDA,0.9989002603465302,0.0010997396534697908,0.039215686274509796,0.02040816326530612,0.5,"[[44506    48]
 [    1     1]]"
QDA,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
DecisionTree,0.9999102253344107,8.977466558937069e-05,0.3333333333333333,0.25,0.5,"[[44551     3]
 [    1     1]]"
RandomForest,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
GradientBoosting,0.9993715773408745,0.0006284226591255947,0.06666666666666667,0.03571428571428571,0.5,"[[44527    27]
 [    1     1]]"
GaussianNB,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
Perceptron,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
AdaBoost,0.9999551126672053,4.488733279468534e-05,0.0,1.0,0.0,"[[44554     0]
 [    2     0]]"
