,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9975311966962923,0.002468803303707694,0.938820912124583,0.9678899082568807,0.9114470842332614,"[[43602    28]
 [   82   844]]"
ExtraTrees,0.9997306760032318,0.00026932399676811203,0.9934924078091106,0.9978213507625272,0.9892008639308856,"[[43628     2]
 [   10   916]]"
Bagging,0.9995735703384505,0.00042642966154951073,0.9896570495372891,0.9978046103183315,0.9816414686825053,"[[43628     2]
 [   17   909]]"
LDA,0.9910000897746656,0.00899991022533441,0.7965499746321665,0.7511961722488039,0.847732181425486,"[[43370   260]
 [  141   785]]"
QDA,0.9834814615315558,0.016518538468444206,0.7100078802206462,0.5589330024813896,0.9730021598272138,"[[42919   711]
 [   25   901]]"
DecisionTree,0.9995511266720531,0.0004488733279468534,0.9891540130151844,0.9934640522875817,0.9848812095032398,"[[43624     6]
 [   14   912]]"
RandomForest,0.9996857886704372,0.00031421132956279736,0.9923913043478262,0.9989059080962801,0.9859611231101512,"[[43629     1]
 [   13   913]]"
GradientBoosting,0.9995960140048479,0.00040398599515216807,0.9902386117136659,0.9945533769063181,0.9859611231101512,"[[43625     5]
 [   13   913]]"
KNeighbors,0.9993491336744771,0.0006508663255229374,0.9842476914720261,0.9901639344262295,0.978401727861771,"[[43621     9]
 [   20   906]]"
GaussianNB,0.9355193464404346,0.06448065355956549,0.388593317727176,0.24198250728862974,0.9859611231101512,"[[40770  2860]
 [   13   913]]"
Perceptron,0.9979800700242392,0.0020199299757608404,0.9516129032258064,0.9475374732334048,0.9557235421166307,"[[43581    49]
 [   41   885]]"
AdaBoost,0.9993940210072717,0.0006059789927282521,0.9854132901134522,0.985945945945946,0.9848812095032398,"[[43617    13]
 [   14   912]]"
