,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999551126672053,4.488733279468534e-05,0.9951690821256038,0.9903846153846154,1.0,"[[44348     2]
 [    0   206]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[44350     0]
 [    0   206]]"
Bagging,1.0,0.0,1.0,1.0,1.0,"[[44350     0]
 [    0   206]]"
LDA,0.9985636053505701,0.001436394649429931,0.8655462184873949,0.762962962962963,1.0,"[[44286    64]
 [    0   206]]"
QDA,1.0,0.0,1.0,1.0,1.0,"[[44350     0]
 [    0   206]]"
DecisionTree,1.0,0.0,1.0,1.0,1.0,"[[44350     0]
 [    0   206]]"
RandomForest,1.0,0.0,1.0,1.0,1.0,"[[44350     0]
 [    0   206]]"
GradientBoosting,1.0,0.0,1.0,1.0,1.0,"[[44350     0]
 [    0   206]]"
GaussianNB,0.9998204506688213,0.00017954933117874137,0.9809523809523809,0.9626168224299065,1.0,"[[44342     8]
 [    0   206]]"
Perceptron,0.9995286830056558,0.00047131699434419606,0.9462915601023019,1.0,0.8980582524271845,"[[44350     0]
 [   21   185]]"
AdaBoost,1.0,0.0,1.0,1.0,1.0,"[[44350     0]
 [    0   206]]"
