,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9998877816680133,0.00011221833198671335,0.0,1.0,0.0,"[[44551     0]
 [    5     0]]"
ExtraTrees,0.9998877816680133,0.00011221833198671335,0.0,1.0,0.0,"[[44551     0]
 [    5     0]]"
Bagging,0.9998877816680133,0.00011221833198671335,0.0,1.0,0.0,"[[44551     0]
 [    5     0]]"
LDA,0.9995735703384505,0.00042642966154951073,0.1739130434782609,0.1111111111111111,0.4,"[[44535    16]
 [    3     2]]"
QDA,0.9998877816680133,0.00011221833198671335,0.0,1.0,0.0,"[[44551     0]
 [    5     0]]"
DecisionTree,0.9998653380016159,0.00013466199838405601,0.4000000000000001,0.4,0.4,"[[44548     3]
 [    3     2]]"
RandomForest,0.9998877816680133,0.00011221833198671335,0.0,1.0,0.0,"[[44551     0]
 [    5     0]]"
GradientBoosting,0.9998428943352186,0.00015710566478139868,0.3636363636363636,0.3333333333333333,0.4,"[[44547     4]
 [    3     2]]"
KNeighbors,0.9998877816680133,0.00011221833198671335,0.0,1.0,0.0,"[[44551     0]
 [    5     0]]"
GaussianNB,0.9279782745309274,0.07202172546907262,0.003106554830692762,0.0015556938394523958,1.0,"[[41342  3209]
 [    0     5]]"
Perceptron,0.9998877816680133,0.00011221833198671335,0.0,1.0,0.0,"[[44551     0]
 [    5     0]]"
AdaBoost,0.9998653380016159,0.00013466199838405601,0.0,0.0,0.0,"[[44550     1]
 [    5     0]]"
