,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9978454080258551,0.0021545919741448962,0.0,1.0,0.0,"[[44460     0]
 [   96     0]]"
ExtraTrees,0.9990573660113116,0.0009426339886883921,0.7666666666666666,0.8214285714285714,0.71875,"[[44445    15]
 [   27    69]]"
Bagging,0.9994613520064638,0.0005386479935362241,0.8651685393258427,0.9390243902439024,0.8020833333333334,"[[44455     5]
 [   19    77]]"
LDA,0.9838405601939133,0.016159439806086723,0.12408759124087593,0.07024793388429752,0.53125,"[[43785   675]
 [   45    51]]"
QDA,0.9329607684711374,0.06703923152886256,0.059212598425196855,0.03052939265995453,0.9791666666666666,"[[41475  2985]
 [    2    94]]"
DecisionTree,0.9992369153424904,0.0007630846575096508,0.8247422680412372,0.8163265306122449,0.8333333333333334,"[[44442    18]
 [   16    80]]"
RandomForest,0.999281802675285,0.0007181973247149655,0.8202247191011235,0.8902439024390244,0.7604166666666666,"[[44451     9]
 [   23    73]]"
GradientBoosting,0.999012478678517,0.0009875213214830775,0.7317073170731708,0.8823529411764706,0.625,"[[44452     8]
 [   36    60]]"
KNeighbors,0.9988329293473381,0.0011670706526618188,0.7204301075268819,0.7444444444444445,0.6979166666666666,"[[44437    23]
 [   29    67]]"
GaussianNB,0.7003321662626807,0.2996678337373193,0.014176018901358537,0.007138607971445568,1.0,"[[31108 13352]
 [    0    96]]"
Perceptron,0.9960050273812731,0.003994972618726995,0.03260869565217391,0.03409090909090909,0.03125,"[[44375    85]
 [   93     3]]"
AdaBoost,0.998496274351378,0.001503725648621959,0.6528497409326426,0.6494845360824743,0.65625,"[[44426    34]
 [   33    63]]"
